"longitude","latitude","radius","tc_id"
259.75527952,18.171361,800,93
267.70104984,17.50457546,300,41
260.83602904,13.62624413,300,4
260.19108584,17.20757051,600,89
263.82592776,14.59844208,400,31
261.50552368,18.42726356,300,71
263.16566464,19.50744456,800,104
266.76449584,18.79109657,300,61
263.03950504,14.03452328,300,19
263.32957456,13.64370531,300,21
261.73854064,13.741888465,300,8
266.1446228,18.511567175,300,44
260.84774784,18.678869365,500,83
260.5132904,13.680347265,500,5
261.4790192,17.776198595,400,72
264.44001768,13.482132315,400,22
265.10134888,19.086283205,500,97
264.3731384,12.744116245,200,25
260.39779664,17.67877108,300,92
264.97547912,18.50357598,300,110
259.7714996,18.425210925,800,94
260.72244264,17.813799145,400,90
261.88017272,14.09309691,300,10
267.11694336,18.091030925,400,45
262.19152832,19.105163575,500,80
259.42799376,18.280507685,400,95
264.69958496,18.23912865,400,111
264.22201536,19.036712705,500,105
265.68661496,18.83187777,300,49
264.77029416,19.16653192,400,98
263.29219056,14.49948421,300,2
264.98625184,18.75431037,300,69
263.15882872,18.0613721,800,102
261.21795656,19.14553648,300,77
261.81309512,18.150426805,300,73
264.31880184,13.76180744,800,16
264.56295776,18.740849855,200,70
260.0484772,14.134169875,300,11
261.15284728,18.933252155,400,112
259.2062988,18.46829152,500,96
265.41609192,18.6591599,800,50
261.60768128,13.46855587,500,12
262.42631528,18.79845774,300,74
264.00151064,14.16329807,200,17
263.3975372,18.26736918,400,103
260.75189208,13.83821583,400,6
260.10192872,17.718155295,300,91
263.3595276,18.90340364,300,99
266.20703128,18.91320771,200,51
261.77316288,19.769080045,600,65
262.30860904,19.918432295,800,66
264.94613648,19.57536167,400,108
260.60456848,18.50066459,300,88
265.90153504,14.99441533,,15
266.49319456,17.45836085,300,34
262.7983704,18.89269358,600,100
267.41876224,19.187460005,500,54
267.31387328,18.63488263,500,62
263.83525088,12.79074496,600,26
262.12280272,13.617771625,200,1
265.56347656,18.411189975,400,52
260.7132416,19.382718265,200,78
267.01275632,19.159769475,600,55
259.48989872,17.17008768,800,86
261.93194584,13.47240573,300,13
263.68763736,13.44279742,400,23
265.33042904,17.444274635,400,38
263.39135744,13.90487945,400,20
263.8986664,13.951938065,400,18
261.21328736,18.605576515,300,84
262.0574036,18.530833185,200,75
263.70962528,13.770284265,400,24
261.7964172,19.057391645,400,81
263.42021176,19.314580915,800,106
267.96133424,17.745655685,500,42
261.256134,14.01667586,200,9
260.14469912,13.700443715,500,7
263.67170712,19.7823841,800,107
264.72334288,17.50916457,200,32
260.76771544,18.91361898,500,79
265.74139408,17.31863758,400,39
264.5250244,19.639242945,800,109
263.66583248,13.166219055,400,27
264.03585816,12.479535995,300,28
266.53860472,17.872383805,600,46
265.91003416,17.545576455,600,40
264.87202456,17.25150725,600,33
267.35519408,18.32255772,200,58
260.8083496,18.243891505,300,85
264.13105776,13.03207731,600,29
263.4806824,12.96580708,800,30
266.984314,17.58472091,600,35
265.86320496,18.08221093,200,47
261.15715024,13.63567522,400,14
266.21539304,19.197234275,800,56
259.57116696,17.75455719,500,87
265.81007384,19.110707105,600,53
267.81207272,17.998576075,800,59
266.72732544,19.31485003,400,57
267.38416,17.696057,600,36
267.47991944,18.105600685,300,60
261.8284912,19.43145758,300,82
262.16990664,19.522346915,300,67
267.21258544,17.383974405,400,37
262.15464784,20.12859291,800,68
262.92228696,14.438441455,400,3
261.98994448,18.3509565,400,76
267.11056,18.5060005,200,63
266.87960816,17.94195986,300,48
266.89315792,18.316456885,600,64
262.87463376,19.09901446,400,101
267.32638552,17.899024395,200,43
