list_name,name,label:english,label:luganda,image,filter
yesno,1,Yes,Yye,,
yesno,2,No,Nedda,,
yesno,999,Don't know,Don't know,,
yesno,888,Refuse to answer,Refuse to answer,,
yesno_consent,1,Yes,Yye,,
yesno_consent,2,No,Nedda,,
yesno_kneeling,1,Yes,Yes,,
yesno_kneeling,2,No,No,,
yesno_kneeling,3,No female member of the household was present when I entered,No female member of the household was present when I entered,,
yesno_kneeling,4,I did not enter the household,I did not enter the household,,
status,1,Complier,Complier,,
status,2,New respondent/Non-complier,New respondent/Non-complier,,
q1_1,1,1,1,,
q1_1,2,2,2,,
q1_1,3,3,3,,
q1_1,4,4,4,,
q1_1,5,5,5,,
q1_1,6,6,6,,
q1_1,7,7,7,,
q1_1,8,8,8,,
q1_1,9,9,9,,
q1_1,10,10,10,,
q1_1,11,11,11,,
q1_1,12,12,12,,
q1_1,13,13,13,,
q1_1,14,14,14,,
q1_1,15,15,15,,
q1_1,16,16,16,,
q1_1,17,17,17,,
q1_1,18,18,18,,
q1_1,19,19,19,,
q1_1,20,20,20,,
q1_1,21,21,21,,
q1_1,22,22,22,,
q1_1,23,23,23,,
q1_1,24,24,24,,
q1_1,25,25,25,,
q1_1,26,26,26,,
q1_1,27,27,27,,
q1_1,28,28,28,,
q1_1,29,29,29,,
q1_1,30,30,30,,
q1_1,31,31,31,,
q1_1,32,32,32,,
q1_1,33,33,33,,
q1_1,34,34,34,,
q1_1,35,35,35,,
q1_1,36,36,36,,
q1_1,37,37,37,,
q1_1,38,38,38,,
q1_5,1,Lwengo,Lwengo,,
q1_5,2,Masaka,Masaka,,
q1_5,3,Mityana,Mityana,,
q1_5,4,Mubende,Mubende,,
q1_6,1,Removed for de-idenfitication,Removed for de-idenfitication,,1
q1_6,2,Removed for de-idenfitication,Removed for de-idenfitication,,2
q1_6,3,Removed for de-idenfitication,Removed for de-idenfitication,,3
q1_6,4,Removed for de-idenfitication,Removed for de-idenfitication,,3
q1_6,5,Removed for de-idenfitication,Removed for de-idenfitication,,4
q1_6,6,Removed for de-idenfitication,Removed for de-idenfitication,,4
q1_6,7,Removed for de-idenfitication,Removed for de-idenfitication,,4
q1_6,8,Removed for de-idenfitication,Removed for de-idenfitication,,4
q1_7,1,Removed for de-idenfitication,Removed for de-idenfitication,,1
q1_7,2,Removed for de-idenfitication,Removed for de-idenfitication,,1
q1_7,3,Removed for de-idenfitication,Removed for de-idenfitication,,1
q1_7,4,Removed for de-idenfitication,Removed for de-idenfitication,,1
q1_7,5,Removed for de-idenfitication,Removed for de-idenfitication,,1
q1_7,6,Removed for de-idenfitication,Removed for de-idenfitication,,1
q1_7,7,Removed for de-idenfitication,Removed for de-idenfitication,,1
q1_7,8,Removed for de-idenfitication,Removed for de-idenfitication,,2
q1_7,9,Removed for de-idenfitication,Removed for de-idenfitication,,2
q1_7,10,Removed for de-idenfitication,Removed for de-idenfitication,,2
q1_7,11,Removed for de-idenfitication,Removed for de-idenfitication,,2
