type,name,label:english,label:luganda,hint:english,hint:luganda,calculation,repeat_count,appearance,constraint,constraint message,relevance,required,choice_filter,required message,read only,media:image,media:audio,media:video,default,disabled,note,response_note,publishable
start,starttime,,,,,,,,,,,,,,,,,,,,,,
end,endtime,,,,,,,,,,,,,,,,,,,,,,
deviceid,deviceid,,,,,,,10/4/16,,,,,,,,,,,,,,,
subscriberid,subscriberid,,,,,,,,,,,,,,,,,,,,,,
simserial,simid,,,,,,,,,,,,,,,,,,,,,,
phonenumber,devicephonenum,,,,,,,,,,,,,,,,,,,,,,
select_one q1_1,enum,1.1) Enumerator name,1.1) Enumerator name,,,,,,,,,yes,,"Sorry, this response is required.",,,,,,,,,
calculate_here,enum_string,,,,,"jr:choice-name(${enum}, '${enum}')",,,,,,,,,,,,,,,,,
note,note_1,"Hello my name is ${enum_string}. This is an independent study carried out by researchers from Columbia University. It focuses on the views of everyday Ugandans such as yourself. That means that for most of the questions we are going to ask you, there is no right or wrong answer. We are just interested in what you think about a variety of issues. Everything you say will remain confidential. The results based on all anonymized survey responses will be published for an academic audience, and will also be made available to the general public.","Amanya gange nze ${enum_string}. Guno omusomo gwetengeredde nga gukolebwa abanonyereza okuva mutendekero ekulu erye Colombia. Gutunulira endowoza za abantu ba Uganda ababulijjo nga gwe. Kino kitegeza nti ebibuuzo ebisingabyetugenda okubuuza, tekuli kyakuddamu kituuffu oba kikyamu. Twagala bwagazi okumanya edowooza yo kunsonga ezenjawulo. Ebibuuzo ebimu,tujja kukwatta eddoboozi lyo nga obiddamu tusobole okuwulira byozemu edako. Kino tukikola okutwanguyizza okusobola okuwandika  ebyo byenyini byozemu. Bulikyoyogera kyakyama,era Amanya go tegajja kwogerwako, kulagibwa oba okugakwasaganya nomusomo guno mubuli ngeri. Ebinaava mukunonyereza bilifulumizibwa mulujjudde lwabayizi era bijja kutekebwa mulujjudde okutwaliza awamu nga ammanya gamwe tegalabikiddeko.",,,,,,,,,,,,,,,,,,,,
note,note_2,ENUMERATOR: Please go on and read the consent form,ENUMERATOR: Please go on and read the consent form,,,,,,,,,,,,,,,,,,,,
