type,name,label:english,label:luganda,hint,default,appearance,constraint ,constraint message,relevance,disabled,required,required message,read only,calculation,repeat_count,media:image,media:audio,media:video,choice_filter,note,response_note,publishable
start,starttime,,,,,,,,,,,,,,,,,,,,,
end,endtime,,,,,,,,,,,,,,,,,,,,,
deviceid,deviceid,,,,,,,,,,,,,,,,,,,,,
subscriberid,subscriberid,,,,,,,,,,,,,,,,,,,,,
simserial,simid,,,,,,,,,,,,,,,,,,,,,
phonenumber,devicephonenum,,,,,,,,,,,,,,,,,,,,,
select_one tl,tl,1.1) Team leader name,1.1) Team leader name,,,,,,,,yes,"Sorry, this response is required.",,,,,,,,,,
calculate_here,tl_string,,,,,,,,,,,,,"jr:choice-name(${tl}, '${tl}')",,,,,,,,
note,note_1,"Hello my name is ${tl_string}. This is an independent study carried out by researchers from Columbia University. It focuses on the views of everyday Ugandans such as yourself. That means that for most of the questions we are going to ask you, there is no right or wrong answer. We are just interested in what you think about a variety of issues. Everything you say will remain confidential. The results based on all anonymized survey responses will be published for an academic audience, and will also be made available to the general public.","Amanya gange nze ${tl_string}. Guno omusomo gwetengeredde nga gukolebwa abanonyereza okuva mutendekero ekulu erye Colombia. Gutunulira endowoza za abantu ba Uganda ababulijjo nga gwe. Kino kitegeza nti ebibuuzo ebisingabyetugenda okubuuza, tekuli kyakuddamu kituuffu oba kikyamu. Twagala bwagazi okumanya edowooza yo kunsonga ezenjawulo. Bulikyoyogera kyakyama,era Amanya go tegajja kwogerwako, kulagibwa oba okugakwasaganya nomusomo guno mubuli ngeri. Ebinaava mukunonyereza bilifulumizibwa mulujjudde lwabayizi era bijja kutekebwa mulujjudde okutwaliza awamu nga ammanya gamwe tegalabikiddeko.",,,,,,,,,,,,,,,,,,,
note,note_2,TEAM LEADER: Please go on and read the consent form,TEAM LEADER: Please go on and read the consent form,,,,,,,,,,,,,,,,,,,
