list_name,name,label:english,label:luganda,image,filter
yesno,1,Yes,Yye,,
yesno,2,No,Nedda,,
yesno,999,Don't know,Simanyi,,
yesno,888,Refuse to answer,Refuse to answer,,
yesno_consent,1,Yes,Yye,,
yesno_consent,2,No,Nedda,,
tl,1,Removed for de-idenfitication,Removed for de-idenfitication,,
tl,2,Removed for de-idenfitication,Removed for de-idenfitication,,
tl,3,Removed for de-idenfitication,Removed for de-idenfitication,,
tl,4,Removed for de-idenfitication,Removed for de-idenfitication,,
tl,5,Removed for de-idenfitication,Removed for de-idenfitication,,
tl,6,Removed for de-idenfitication,Removed for de-idenfitication,,
tl,7,Removed for de-idenfitication,Removed for de-idenfitication,,
q2_1,1,Male,Male,,
q2_1,2,Female,Female,,
q2_3,1,Months,Months,,
q2_3,2,Years,Years,,
q2_5,1,Minutes,Minutes,,
q2_5,2,Hours,Hours,,
q2_5,3,Days,Days,,
tc,93,93,93,,
tc,41,41,41,,
tc,4,4,4,,
tc,89,89,89,,
tc,31,31,31,,
tc,71,71,71,,
tc,104,104,104,,
tc,61,61,61,,
tc,19,19,19,,
tc,21,21,21,,
tc,8,8,8,,
tc,44,44,44,,
tc,83,83,83,,
tc,5,5,5,,
tc,72,72,72,,
tc,22,22,22,,
tc,97,97,97,,
tc,25,25,25,,
tc,92,92,92,,
tc,110,110,110,,
tc,94,94,94,,
tc,90,90,90,,
tc,10,10,10,,
tc,45,45,45,,
tc,80,80,80,,
tc,95,95,95,,
tc,111,111,111,,
tc,105,105,105,,
tc,49,49,49,,
tc,98,98,98,,
tc,2,2,2,,
tc,69,69,69,,
tc,102,102,102,,
tc,77,77,77,,
tc,73,73,73,,
tc,16,16,16,,
tc,70,70,70,,
tc,11,11,11,,
tc,112,112,112,,
tc,96,96,96,,
tc,50,50,50,,
tc,12,12,12,,
tc,74,74,74,,
tc,17,17,17,,
tc,103,103,103,,
tc,6,6,6,,
tc,91,91,91,,
tc,99,99,99,,
tc,51,51,51,,
tc,65,65,65,,
tc,66,66,66,,
tc,108,108,108,,
tc,88,88,88,,
tc,15,15,15,,
tc,34,34,34,,
tc,100,100,100,,
tc,54,54,54,,
tc,62,62,62,,
tc,26,26,26,,
tc,1,1,1,,
tc,52,52,52,,
tc,78,78,78,,
tc,55,55,55,,
tc,86,86,86,,
tc,13,13,13,,
tc,23,23,23,,
tc,38,38,38,,
tc,20,20,20,,
tc,18,18,18,,
tc,84,84,84,,
tc,75,75,75,,
tc,24,24,24,,
tc,81,81,81,,
tc,106,106,106,,
tc,42,42,42,,
tc,9,9,9,,
tc,7,7,7,,
tc,107,107,107,,
tc,32,32,32,,
tc,79,79,79,,
tc,39,39,39,,
tc,109,109,109,,
tc,27,27,27,,
tc,28,28,28,,
tc,46,46,46,,
tc,40,40,40,,
tc,33,33,33,,
tc,58,58,58,,
tc,85,85,85,,
tc,29,29,29,,
tc,30,30,30,,
tc,35,35,35,,
tc,47,47,47,,
tc,14,14,14,,
tc,56,56,56,,
