"KEY","dist_to_video_hall"
"uuid:4776bf26-544c-443d-adcc-e7fe3f5f4294",107
"uuid:bf9171de-3ffb-4cbc-ad9a-23c1b4df4cde",153
"uuid:c8bf64ff-3a0a-4004-9b79-26acd3e2cc56",97
"uuid:46dc1b74-8750-4d38-a79a-20b7b7398fee",49
"uuid:d224dc0f-fe40-4e4b-8f51-565625ceb0a0",66
"uuid:9d94f48d-7a00-4ace-bc10-c0f3f30d59ac",56
"uuid:a38077fc-b856-4031-8485-75e656064878",50
"uuid:d68d253c-5cd3-4586-a558-db15da35243b",117
"uuid:4a66af23-9a92-471c-94ae-02f67c55d0ef",68
"uuid:90be3483-dc43-4fb7-8181-f44589d85e7f",57
"uuid:25107938-8510-4c31-9fa1-f0b3a21fec82",71
"uuid:e0d4777b-58ab-470f-80e5-b490db9fd1eb",97
"uuid:7d668f5a-2324-4b52-b1bd-c2c70e6d1b95",41
"uuid:78259c41-b0cf-4f57-845e-3a7fe5ef30ed",65
"uuid:1404e06e-3275-42eb-a1f3-a811e803a529",122
"uuid:4294a855-ff5f-4474-a309-975e39634291",142
"uuid:a3789896-5900-4af4-b3b4-d9fa945f7893",77
"uuid:71c777a0-3c14-4181-b2d4-b9e9cf686ee0",50
"uuid:ee4ef12a-01e9-47a5-a61e-fddbb002d692",91
"uuid:862a30df-9c9d-4b0a-86f3-26d5a1d056fc",87
"uuid:a077ff5d-2acf-4b07-8975-e56b3f0d1d1e",81
"uuid:2d0f38e1-0f9d-4f53-89fa-ef4b059737e7",22
"uuid:741d5d3c-e82e-4724-a728-d20a65401c4d",139
"uuid:2c86e6db-5272-4fc5-9104-89f45bbf0afe",149
"uuid:18f1d67d-4b1b-47f4-8d7f-4d87abb0075c",154
"uuid:0c7497f3-147c-417d-b1f6-bfac2e38af9a",180
"uuid:d0bc54bd-7959-4448-ac71-3f4aa99b7c53",115
"uuid:ad4060c9-8ffd-448c-a885-36670a6f0eba",1291
"uuid:49bf1e50-079f-47df-af23-6eeca4ee2f61",165
"uuid:09ce4396-fcc2-493a-82dd-2d09349c2cf5",209
"uuid:dc4131ec-7977-4ec2-8224-5bf81b536c81",36
"uuid:9284ad3e-1911-426a-b073-138b594c4af7",25
"uuid:f97ebee1-9788-4e9d-9cb1-3e8734d231d3",89
"uuid:5e650b30-c91e-4399-bafb-e82cc19f0db2",63
"uuid:45d7b0f0-4f6b-496e-9d2c-f58be4e6e53f",65
"uuid:dac7935e-96b9-4fd5-93d5-0865f3a03abb",157
"uuid:7d40153b-937d-4edf-a034-1863d95d23c8",128
"uuid:5c4c66ee-b0ad-4590-bde7-ddfcf0adfaac",24
"uuid:ce180534-08d5-4449-86b0-0e814f8d50a4",160
"uuid:0b9dd548-a8e1-4706-b252-e311ffdc6971",74
"uuid:e4dc71c1-6d57-4b87-a583-7cff54dfda2d",29
"uuid:e5c6f537-f801-44db-a67b-516bec644cdd",149
"uuid:93254965-ed83-498a-a211-30c7571bf9cd",92
"uuid:eb4e6dc7-2984-478a-b215-d4e7a24b791e",44
"uuid:d7ea74e0-34a7-43c4-ab42-ec57c2a50ad7",185
"uuid:b38ad676-4c42-4137-96aa-1c0a3be902a4",206
"uuid:edbb7518-4d6d-4601-8eb8-f45272feeee2",150
"uuid:8e0ed094-41d8-4968-bbcc-009580e6b294",114
"uuid:4e42f3b2-b8eb-4c62-b144-df2db7b16551",67
"uuid:37ce3e2a-b66d-40cd-a2df-1444b96e8efb",154
"uuid:51fbcde1-00b2-4595-8c64-a47a0340e154",79
"uuid:00da09e6-2871-4f06-ba43-896775612826",109
"uuid:131a67d5-eaa4-4b71-995b-1542c4dd887f",18
"uuid:0e7e33db-d13b-40b6-8f66-018c233be664",73
"uuid:1e54ff32-7db1-4c7a-9a2e-2a79e5db016a",105
"uuid:f359304e-2541-40b8-9180-1e8da0a92cd5",87
"uuid:ec9d5f76-015b-4649-911d-f164f7cec0b2",151
"uuid:9ece0ae9-e45f-4593-835a-c408ecb61825",97
"uuid:2084d54b-794b-453c-94a2-cbf81974cf37",78
"uuid:f9b5b31d-1acd-446c-a146-81e7b8aa848a",125
"uuid:885ecb59-a1b2-4e38-a75e-71ba439d44de",110
"uuid:9490f3a7-5dd8-4b3c-ae5b-44e559e1713e",65
