"","SubmissionDate","starttime","endtime","enum","note_1","note_2","intro","consent_text","consent","note_3","resp_status","resp_interviewed","date_time","id_c","id_2_c","district_calc","id","id_2","district","sex_q2_1","day_q2_2","age_q2_3_c","age_q2_3","rel_q2_4","q2_4_oth","status_q2_5","q2_5_oth","lc1_naba_vht_q2_11","q2_12err","educ_q2_21","read_q2_22","read_q2_22b","lang_q2_23","q2_23_oth","other_lang_q2_24","q2_24err","q2_24_oth","activity_q3_1","q3_1_oth","frequency_discussion_q3_1","convers_q3_3","q3_3err","granchildren_q3_4","granchildren_boys_q3_5","food_q4_2","news_q4_1","watchTV_q4_1","mobile_q4_2","randomdraw1","random_order","note_q5_1","doctor_q5_1a","teacher_q5_1a","principal_q5_1a","official_q5_1a","judge_q5_1a","police_q5_1a","clergy_q5_1a","note_q5_1_b","doctor_q5_1b","teacher_q5_1b","police_q5_1b","clergy_q5_1b","principal_q5_1b","official_q5_1b","judge_q5_1b","note_q5_1_c","official_q5_1c","judge_q5_1c","doctor_q5_1c","teacher_q5_1c","police_q5_1c","clergy_q5_1c","principal_q5_1c","note_q5_1_d","official_q5_1d","judge_q5_1d","doctor_q5_1d","teacher_q5_1d","police_q5_1d","clergy_q5_1d","principal_q5_1d","note_q5_1_e","official_q5_1e","judge_q5_1e","doctor_q5_1e","teacher_q5_1e","police_q5_1e","clergy_q5_1e","principal_q5_1e","note_q5_1_f","official_q5_1f","judge_q5_1f","doctor_q5_1f","teacher_q5_1f","police_q5_1f","clergy_q5_1f","principal_q5_1f","goals_q6_2","q6_2err","note7_1","boys_school_q7_1","able_marry_q7_2","final_say_q7_3","child_rearing_q7_4","note8","note8_1","randomdraw2","action_q8_1a_1","action_q8_1b_1","action_q8_1b_2_1","action_q8_1c_1","action_q8_1d_1","action_q8_1d_2_1","action_q8_1a_2","action_q8_1b_2","action_q8_1b_2_2","action_q8_1c_2","action_q8_1d_2","action_q8_1d_2_2","action_q8_1a_3","action_q8_1b_3","action_q8_1b_2_3","action_q8_1c_3","action_q8_1d_3","action_q8_1d_2_3","action_q8_1a_4","action_q8_1b_4","action_q8_1b_2_4","action_q8_1c_4","action_q8_1d_4","action_q8_1d_2_4","note8_2","disobeys_q8_1a","disobeys_yes","disobeys_no","randomdraw3","chat_q8_1b","fin_pressure_q8_1c","no_housework_q8_1e","note8_3","disobeys_community_q8_2","housework_comm_q8_4","chat_community_q8_5","fin_press_comm_q8_6","react_q8_7","intervene_q8_9","spiral_risk_q8_7","note8_8","empathy_pair_q8_8","empathy_husband_q8_9","free_riding_ran","free_riding","free_riding_lug","free.riding_q8_10","free.riding_q8_10_oth","free.riding_q8_10_no","free.riding_q8_10_2","free.riding_q8_10_2no","revenge_q8_11","note8_12","forum_ran","forum","R_gender","R_not_gender","R_gender_lug","R_not_gender_lug","reporting_exp_q8_12","reporting_intro","reporting_intro_2","reporting_cost1_q8_13a","reporting_cost2_q8_13b","reporting_cost3_q8_13c","intervention_q9_1","interv_consequence_q9_2","randomdraw6","tribe_q2_25","q2_25_oth","tribe1","religion_q14_1","q14_1_oth","religion_times_q14_2","note16_1","note16_1_2","beaten_comm_q16_1","woman_beaten_q16_1b","report_q16_1c","q16_1err","report_q16_1c_oth","note_17","beating_freq_q17_2","beating_yes_q17_2b","beating_no_q17_2b","note_17_2","hh_violence_yesno_q17_2","incidents_q17_2b","hh_violence_freq_q17_3","hh_violence_yes_q17_3b","hh_violence_no_q17_3b","ipv_efficacy_q17_4","films_q17_1","other_attend_q17_2","content_q17_1b","q19_3err","content_q17_1b_oth","hear_q19_4","q19_4err","hear_q19_4_oth","note_19","q19_1","organizers_q18_1","followup_fest_q18_2","attendance_q18_3","person_q18_1","relationship_person_q18_2","q18_2_oth","q18_2berr","note18","note20","observe_conditions_q18_4","note20_2","survey_language","survey_language_oth","woman_kneeling","comments","instanceID","formdef_version","KEY","tc_id"
"1","Oct 15, 2016 11:03:24 AM","Oct 14, 2016 12:31:31 PM","Oct 14, 2016 1:42:50 PM",55,NA,NA,NA,NA,1,NA,NA,NA,"Oct 14, 2016 12:31:00 PM",NA,NA,NA,NA,NA,NA,1,3,NA,18,4,NA,7,NA,"11",NA,4,2,NA,2,NA,"1",NA,NA,6,NA,NA,"5 1 7",NA,NA,NA,NA,5,4,5,0.737545839805933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 2 7",NA,NA,NA,NA,NA,NA,NA,NA,0.621494971080913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,0.939563546733067,NA,NA,2,NA,2,2,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.794649941732739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,3,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"uuid:496860fb-e6dc-4c40-9f0a-b4f797e2798b",1610121154,"uuid:496860fb-e6dc-4c40-9f0a-b4f797e2798b",NA
"2","Oct 15, 2016 11:07:22 AM","Oct 14, 2016 9:26:54 AM","Oct 14, 2016 12:44:04 PM",34,NA,NA,NA,NA,1,NA,NA,NA,"Oct 14, 2016 11:10:00 AM",NA,NA,NA,NA,NA,NA,1,2,NA,38,1,NA,1,NA,"11",NA,6,2,NA,2,NA,"2 29",NA,NA,1,NA,NA,"5 1 7 9",NA,NA,NA,NA,5,3,5,0.687845597623918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6 7 8",NA,NA,NA,NA,NA,NA,NA,NA,0.542794658382836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,0.117383118719212,2,NA,NA,NA,1,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.361968694974201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"uuid:0b32a63e-013c-483f-874a-70e1de6bcb71",1610121154,"uuid:0b32a63e-013c-483f-874a-70e1de6bcb71",NA
"3","Oct 15, 2016 11:08:03 AM","Oct 13, 2016 1:03:05 PM","Oct 13, 2016 4:36:45 PM",19,NA,NA,NA,NA,1,NA,NA,NA,"Oct 13, 2016 1:03:00 PM",NA,NA,NA,NA,NA,NA,1,2,NA,35,1,NA,1,NA,"11",NA,6,1,NA,2,NA,"29 30",NA,NA,1,NA,NA,"7",NA,NA,NA,NA,5,2,5,0.455492501729996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 4 5",NA,NA,NA,NA,NA,NA,NA,NA,0.892997674350469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,1,1,NA,NA,1,1,NA,0.444940749874053,NA,1,NA,NA,1,NA,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.985774543174847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"uuid:f2c36267-c8c7-4255-b984-ad6d3b3af29b",1610121154,"uuid:f2c36267-c8c7-4255-b984-ad6d3b3af29b",NA
"4","Oct 15, 2016 11:08:26 AM","Oct 14, 2016 10:50:13 AM","Oct 14, 2016 12:11:50 PM",40,NA,NA,NA,NA,1,NA,NA,NA,"Oct 14, 2016 10:55:00 AM",NA,NA,NA,NA,NA,NA,2,3,NA,22,2,NA,2,NA,"10",NA,11,NA,2,2,NA,"1",NA,NA,8,NA,NA,"5 4",NA,NA,NA,NA,5,4,5,0.318641191913389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5 6 7",NA,NA,NA,NA,NA,NA,NA,NA,0.279122968067019,NA,NA,NA,NA,NA,NA,2,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,0.907369911274011,NA,NA,2,NA,2,2,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.253180175966643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"uuid:c6058aab-1d97-4dd2-b7d8-f3bcdcc88e30",1610121154,"uuid:c6058aab-1d97-4dd2-b7d8-f3bcdcc88e30",NA
"5","Oct 15, 2016 11:09:16 AM","Oct 14, 2016 11:02:04 AM","Oct 14, 2016 1:21:27 PM",33,NA,NA,NA,NA,1,NA,NA,NA,"Oct 14, 2016 11:12:00 AM",NA,NA,NA,NA,NA,NA,2,2,NA,29,1,NA,4,NA,"11",NA,6,2,NA,2,NA,"2",NA,NA,1,NA,NA,"4",NA,NA,NA,NA,1,6,3,0.728872575733056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3 5 8",NA,NA,NA,NA,NA,NA,NA,NA,0.233728462553015,2,1,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,0.058281932291786,1,NA,NA,NA,1,NA,1,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.960643522598744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"uuid:0e50dd1e-6c5e-4b1d-a2c6-27e7079c343e",1610121154,"uuid:0e50dd1e-6c5e-4b1d-a2c6-27e7079c343e",NA
"6","Oct 15, 2016 11:11:02 AM","Oct 14, 2016 11:16:51 AM","Oct 14, 2016 1:18:09 PM",24,NA,NA,NA,NA,1,NA,NA,NA,"Oct 14, 2016 11:17:00 AM",NA,NA,NA,NA,NA,NA,2,1,NA,38,2,NA,2,NA,"11",NA,18,NA,4,2,NA,"2",NA,NA,1,NA,NA,"8",NA,NA,NA,NA,1,6,1,0.227973498872298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3 4 5",NA,NA,NA,NA,NA,NA,NA,NA,0.778653499130568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,2,NA,NA,1,1,NA,0.49760499177169,NA,2,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.200099825937021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"uuid:70221566-5a56-40fb-9044-5702e8e2a597",1610121154,"uuid:70221566-5a56-40fb-9044-5702e8e2a597",NA
"7","Oct 15, 2016 11:11:17 AM","Oct 13, 2016 1:24:29 PM","Oct 13, 2016 5:06:38 PM",53,NA,NA,NA,NA,1,NA,NA,NA,"Oct 13, 2016 3:00:00 PM",NA,NA,NA,NA,NA,NA,2,3,NA,23,7,NA,7,NA,"2",NA,19,NA,2,29,NA,"1 2",NA,NA,1,NA,NA,"5 1 2 3",NA,NA,NA,NA,5,6,5,0.822894393615484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4 5 6",NA,NA,NA,NA,NA,NA,NA,NA,0.689309607065809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,0.265316562951055,2,NA,NA,NA,2,NA,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.496042635351715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"uuid:f438f0a2-0e27-45d8-88b0-37dcccf9b023",1610121154,"uuid:f438f0a2-0e27-45d8-88b0-37dcccf9b023",NA
"8","Oct 15, 2016 11:15:58 AM","Oct 14, 2016 10:59:38 AM","Oct 14, 2016 12:21:32 PM",21,NA,NA,NA,NA,1,NA,NA,NA,"Oct 14, 2016 11:00:00 AM",NA,NA,NA,NA,NA,NA,1,1,NA,52,1,NA,1,NA,"7",NA,6,2,NA,2,NA,"37",NA,NA,6,NA,NA,"8",NA,NA,NA,NA,5,1,5,0.992834811746472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3 7 8",NA,NA,NA,NA,NA,NA,NA,NA,0.129759672486733,2,1,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,0.565305013309818,NA,2,NA,NA,2,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7401547392115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"uuid:6c790d4d-b9f7-4b5b-9189-40b284ac5993",1610121154,"uuid:6c790d4d-b9f7-4b5b-9189-40b284ac5993",NA
"9","Oct 15, 2016 11:15:59 AM","Oct 14, 2016 11:31:10 AM","Oct 14, 2016 5:01:14 PM",37,NA,NA,NA,NA,1,NA,NA,NA,"Oct 14, 2016 11:43:00 AM",NA,NA,NA,NA,NA,NA,2,1,NA,21,2,NA,2,NA,"11",NA,10,NA,2,2,NA,"1",NA,NA,12,NA,NA,"5 1 4 9",NA,NA,NA,NA,5,6,4,0.295136777678102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 3 5",NA,NA,NA,NA,NA,NA,NA,NA,0.0776016391934387,1,2,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,0.955593725759423,NA,NA,2,NA,2,2,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00903721431400406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"uuid:c22a129e-98fe-4f57-bc80-18d5a2b6f502",1610121154,"uuid:c22a129e-98fe-4f57-bc80-18d5a2b6f502",NA
"10","Oct 15, 2016 11:16:25 AM","Oct 14, 2016 11:00:20 AM","Oct 14, 2016 3:34:11 PM",28,NA,NA,NA,NA,1,NA,NA,NA,"Oct 14, 2016 11:20:00 AM",NA,NA,NA,NA,NA,NA,2,1,NA,25,1,NA,5,NA,"11",NA,6,2,NA,2,NA,"2",NA,NA,7,NA,NA,"8",NA,NA,NA,NA,3,6,5,0.58706916000733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2 4 6",NA,NA,NA,NA,NA,NA,NA,NA,0.705574493471024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,0.623213762388694,NA,2,NA,NA,2,NA,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.457245316708222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"uuid:92f000cf-56f7-40e9-8e75-ef2bd834b119",1610121154,"uuid:92f000cf-56f7-40e9-8e75-ef2bd834b119",NA
