"","SubmissionDate","starttime","endtime","enum","note_1","note_2","intro","consent_text","consent","note_3","resp_status","resp_interviewed","date_time","id_c","id_2_c","district_calc","id","id_2","district","sex_q2_1","day_q2_2","age_q2_3_c","age_q2_3","rel_q2_4","q2_4_oth","status_q2_5","q2_5_oth","lc1_naba_vht_q2_11","q2_12err","educ_q2_21","read_q2_22","read_q2_22b","lang_q2_23","q2_23_oth","other_lang_q2_24","q2_24err","q2_24_oth","activity_q3_1","q3_1_oth","frequency_discussion_q3_1","convers_q3_3","q3_3err","granchildren_q3_4","granchildren_boys_q3_5","food_q4_2","news_q4_1","watchTV_q4_1","mobile_q4_2","randomdraw1","random_order","note_q5_1","doctor_q5_1a","teacher_q5_1a","principal_q5_1a","official_q5_1a","judge_q5_1a","police_q5_1a","clergy_q5_1a","note_q5_1_b","doctor_q5_1b","teacher_q5_1b","police_q5_1b","clergy_q5_1b","principal_q5_1b","official_q5_1b","judge_q5_1b","note_q5_1_c","official_q5_1c","judge_q5_1c","doctor_q5_1c","teacher_q5_1c","police_q5_1c","clergy_q5_1c","principal_q5_1c","note_q5_1_d","official_q5_1d","judge_q5_1d","doctor_q5_1d","teacher_q5_1d","police_q5_1d","clergy_q5_1d","principal_q5_1d","note_q5_1_e","official_q5_1e","judge_q5_1e","doctor_q5_1e","teacher_q5_1e","police_q5_1e","clergy_q5_1e","principal_q5_1e","note_q5_1_f","official_q5_1f","judge_q5_1f","doctor_q5_1f","teacher_q5_1f","police_q5_1f","clergy_q5_1f","principal_q5_1f","goals_q6_2","q6_2err","note7_1","boys_school_q7_1","able_marry_q7_2","final_say_q7_3","child_rearing_q7_4","note8","note8_1","randomdraw2","action_q8_1a_1","action_q8_1b_1","action_q8_1b_2_1","action_q8_1c_1","action_q8_1d_1","action_q8_1d_2_1","action_q8_1a_2","action_q8_1b_2","action_q8_1b_2_2","action_q8_1c_2","action_q8_1d_2","action_q8_1d_2_2","action_q8_1a_3","action_q8_1b_3","action_q8_1b_2_3","action_q8_1c_3","action_q8_1d_3","action_q8_1d_2_3","action_q8_1a_4","action_q8_1b_4","action_q8_1b_2_4","action_q8_1c_4","action_q8_1d_4","action_q8_1d_2_4","note8_2","disobeys_q8_1a","disobeys_yes","disobeys_no","randomdraw3","chat_q8_1b","fin_pressure_q8_1c","no_housework_q8_1e","note8_3","disobeys_community_q8_2","housework_comm_q8_4","chat_community_q8_5","fin_press_comm_q8_6","react_q8_7","intervene_q8_9","spiral_risk_q8_7","note8_8","empathy_pair_q8_8","empathy_husband_q8_9","free_riding_ran","free_riding","free_riding_lug","free.riding_q8_10","free.riding_q8_10_oth","free.riding_q8_10_no","free.riding_q8_10_2","free.riding_q8_10_2no","revenge_q8_11","note8_12","forum_ran","forum","R_gender","R_not_gender","R_gender_lug","R_not_gender_lug","reporting_exp_q8_12","reporting_intro","reporting_intro_2","reporting_cost1_q8_13a","reporting_cost2_q8_13b","reporting_cost3_q8_13c","intervention_q9_1","interv_consequence_q9_2","randomdraw6","tribe_q2_25","q2_25_oth","tribe1","religion_q14_1","q14_1_oth","religion_times_q14_2","note16_1","note16_1_2","beaten_comm_q16_1","woman_beaten_q16_1b","report_q16_1c","q16_1err","report_q16_1c_oth","note_17","beating_freq_q17_2","beating_yes_q17_2b","beating_no_q17_2b","note_17_2","hh_violence_yesno_q17_2","incidents_q17_2b","hh_violence_freq_q17_3","hh_violence_yes_q17_3b","hh_violence_no_q17_3b","ipv_efficacy_q17_4","films_q17_1","other_attend_q17_2","content_q17_1b","q19_3err","content_q17_1b_oth","hear_q19_4","q19_4err","hear_q19_4_oth","note_19","q19_1","organizers_q18_1","followup_fest_q18_2","attendance_q18_3","cooperative_q20_1","person_q18_1","relationship_person_q18_2","q18_2_oth","q18_2berr","note18","note20","observe_conditions_q18_4","note20_2","survey_language","survey_language_oth","woman_kneeling","comments","instanceID","formdef_version","KEY","tc_id"
"1","May 19, 2017 6:48:00 PM","May 19, 2017 9:25:54 AM","May 19, 2017 10:50:16 AM",11,NA,NA,NA,NA,1,NA,1,1,"May 19, 2017 9:30:00 AM",41610541,41610541,"Mubende",NA,NA,NA,2,2,23,NA,NA,NA,1,NA,"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,"5 1 4",NA,4,5,"Matooke and Beef",5,3,5,0.930263483358327,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,2,2,1,"2 3 4",NA,NA,2,1,2,1,NA,NA,0.743894578106795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,0.438854011387037,NA,2,NA,NA,1,NA,NA,2,1,2,1,NA,1,2,0.870599708925491,"you see a group of people from your community standing nearby, discussing the incident","nolaba ekibinja ky abantu okuva mukitundu kyo nga bayimiridde okumpi, nga bogera ku kiguddewo",1,NA,NA,NA,NA,1,NA,0.788876873040999,"Police","woman","Man","omukazi","omusajja",2,NA,NA,2,2,1,2,2,0.0886463042791819,17,NA,"Mukhonjo",NA,NA,NA,NA,NA,12,4,"1",NA,NA,NA,NA,NA,NA,NA,1,2,1,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,2,NA,NA,NA,NA,NA,3,NA,1,NA,2,NA,"uuid:2381c601-5c3b-4e29-8517-b7405e904f7e",1705190627,"uuid:2381c601-5c3b-4e29-8517-b7405e904f7e",94
"2","May 19, 2017 6:48:01 PM","May 19, 2017 11:38:17 AM","May 19, 2017 12:56:48 PM",11,NA,NA,NA,NA,1,NA,2,2,"May 19, 2017 11:38:00 AM",NA,NA,NA,"T41610031","T41610031",4,2,1,NA,65,1,NA,6,NA,"9",NA,4,2,NA,2,NA,"37",NA,NA,1,NA,3,"4",NA,5,4,"Matooke and Beef",5,1,5,0.110012722472317,1,NA,2,1,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 2 9",NA,NA,2,2,1,1,NA,NA,0.630503837630345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,0.78273317092654,NA,NA,2,NA,2,2,NA,NA,1,1,1,NA,2,2,0.664941146867056,"you see a group of people from your community standing nearby, discussing the incident","nolaba ekibinja ky abantu okuva mukitundu kyo nga bayimiridde okumpi, nga bogera ku kiguddewo",2,NA,"Some couples solve their issues",NA,NA,1,NA,0.631622601825442,"Nabakyala","woman","Man","omukazi","omusajja",2,NA,NA,1,1,1,2,2,0.0450271480010492,1,NA,"Muganda",3,NA,1,NA,NA,6,0,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,7,4,NA,NA,NA,6,NA,"Movies were about development",NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,3,NA,1,NA,1,"Respondent noted that movies shown only captured young people.adults should also be considered.","uuid:37be6242-db0c-4022-927c-b0df9d8bad25",1705190627,"uuid:37be6242-db0c-4022-927c-b0df9d8bad25",94
"3","May 19, 2017 7:13:51 PM","May 19, 2017 10:21:02 AM","May 19, 2017 11:25:04 AM",38,NA,NA,NA,NA,1,NA,1,1,"May 19, 2017 10:24:00 AM",41623081,41623081,"Mubende",NA,NA,NA,1,1,45,NA,NA,NA,1,NA,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,"1 3 4 7 10",NA,6,4,"Potatoes and cassava",5,2,5,0.455581723752779,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2 3 4",NA,NA,2,1,2,1,NA,NA,0.436251557027066,NA,NA,NA,NA,NA,NA,2,2,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,0.568947483994862,NA,2,NA,NA,2,NA,NA,2,1,1,1,NA,2,2,0.860175457847593,"you see a group of people from your community standing nearby, discussing the incident","nolaba ekibinja ky abantu okuva mukitundu kyo nga bayimiridde okumpi, nga bogera ku kiguddewo",1,NA,NA,NA,NA,1,NA,0.755262233383791,"Police","man","Woman","omusajja","omukazi",1,NA,NA,2,2,2,1,1,0.210559867303028,24,NA,"Munyoro",NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,2,NA,NA,NA,NA,NA,3,NA,1,NA,3,NA,"uuid:038e0ed1-49a4-487c-88bf-77f50fcd997f",1705190627,"uuid:038e0ed1-49a4-487c-88bf-77f50fcd997f",96
"4","May 19, 2017 7:14:02 PM","May 19, 2017 11:31:04 AM","May 19, 2017 12:27:55 PM",38,NA,NA,NA,NA,1,NA,1,1,"May 19, 2017 11:39:00 AM",41623101,41623101,"Mubende",NA,NA,NA,1,2,19,NA,NA,NA,7,NA,"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,15,"Loading of goods and offloading",1,"10",NA,4,5,"Posho",5,2,1,0.574609074017012,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 7 9",NA,NA,1,1,2,1,NA,NA,0.172748946295026,2,1,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,0.388799357896943,NA,2,NA,NA,2,NA,NA,2,1,1,1,NA,1,2,0.00604706604112382,"you know that you are the only who has observed the incident","ng omanyi nti gwe weka alabye ekintu ekiguddewo",1,NA,NA,NA,NA,2,NA,0.0829811610498179,"LC1","man","Woman","omusajja","omukazi",1,NA,NA,2,2,2,1,2,0.115514279133049,24,NA,"Munyoro",NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,2,NA,NA,NA,NA,NA,2,NA,1,NA,3," The respondent was not very cooperative","uuid:441761ed-0ebb-443c-aa30-96406beb7df5",1705190627,"uuid:441761ed-0ebb-443c-aa30-96406beb7df5",96
"5","May 19, 2017 7:14:11 PM","May 19, 2017 9:47:24 AM","May 19, 2017 10:38:56 AM",14,NA,NA,NA,NA,1,NA,1,1,"May 19, 2017 9:52:00 AM",41613421,41613421,"Mubende",NA,NA,NA,1,1,28,NA,NA,NA,1,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,3,"7",NA,4,5,"Cassava",5,3,5,0.66052902516242,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3 4 7",NA,NA,2,1,2,1,NA,NA,0.763046703567467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,1,2,NA,NA,2,NA,2,0.42390872078049,NA,2,NA,NA,2,NA,NA,2,1,1,2,NA,1,2,0.505820250489206,"you see a group of people from your community standing nearby, discussing the incident","nolaba ekibinja ky abantu okuva mukitundu kyo nga bayimiridde okumpi, nga bogera ku kiguddewo",1,NA,NA,NA,NA,1,NA,0.125316319402303,"LC1","man","Woman","omusajja","omukazi",1,NA,NA,1,1,1,1,2,0.50678524271823,1,NA,"Muganda",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,2,NA,NA,NA,NA,NA,3,NA,1,NA,3,NA,"uuid:39abc275-35ff-4986-8067-47667e27991d",1705190627,"uuid:39abc275-35ff-4986-8067-47667e27991d",95
"6","May 19, 2017 7:14:27 PM","May 19, 2017 12:09:16 PM","May 19, 2017 1:06:46 PM",1,NA,NA,NA,NA,1,NA,1,1,"May 19, 2017 12:12:00 PM",41613231,41613231,"Mubende",NA,NA,NA,1,1,24,NA,NA,NA,1,NA,"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,"5 3",NA,3,3,"Sweet potatoes",3,6,4,0.445475087324432,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5 7 9",NA,NA,1,1,1,1,NA,NA,0.633997944866364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,0.766406781987368,NA,NA,2,NA,1,2,NA,NA,1,1,1,NA,1,2,0.72482930953216,"you see a group of people from your community standing nearby, discussing the incident","nolaba ekibinja ky abantu okuva mukitundu kyo nga bayimiridde okumpi, nga bogera ku kiguddewo",1,NA,NA,NA,NA,2,NA,0.0420278603358679,"LC1","man","Woman","omusajja","omukazi",1,NA,NA,1,1,1,2,2,0.906232401989825,24,NA,"Munyoro",NA,NA,NA,NA,NA,12,2,"1",NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"I really do not know, just had about free films",1,2,1,2,NA,NA,NA,NA,NA,6,NA,1,NA,4,NA,"uuid:5eab2f29-1197-4f25-97a6-51b03f67ba8a",1705190627,"uuid:5eab2f29-1197-4f25-97a6-51b03f67ba8a",95
"7","May 19, 2017 7:14:35 PM","May 19, 2017 11:31:15 AM","May 19, 2017 12:41:00 PM",29,NA,NA,NA,NA,1,NA,2,2,"May 19, 2017 11:37:00 AM",NA,NA,NA,"t41613071","t41613071",4,2,2,NA,52,2,NA,1,NA,"11",NA,4,2,NA,2,NA,"37",NA,NA,1,NA,3,"1 2 3 10",NA,4,5,"Matooke",5,6,1,0.302073689765197,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 3 9",NA,NA,1,2,1,2,NA,NA,0.929831918797656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,2,1,NA,NA,1,1,NA,0.458869188885073,NA,2,NA,NA,1,NA,NA,2,2,1,1,NA,1,1,0.376869282422643,"you know that you are the only who has observed the incident","ng omanyi nti gwe weka alabye ekintu ekiguddewo",2,NA,"I may not know  the reason for the fight or why the husband may have decided to beat the wife",NA,NA,1,NA,0.526810551466475,"Nabakyala","woman","Man","omukazi","omusajja",1,NA,NA,1,1,1,2,1,0.43795145754066,24,NA,"Munyoro",3,NA,0,NA,NA,1,1,"2 3",NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,7,3,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,6,NA,1,NA,1,NA,"uuid:1d0e2183-bf0e-4f62-99b9-054494ff84e7",1705190627,"uuid:1d0e2183-bf0e-4f62-99b9-054494ff84e7",95
"8","May 19, 2017 7:14:36 PM","May 19, 2017 3:31:06 PM","May 19, 2017 4:43:45 PM",14,NA,NA,NA,NA,1,NA,2,2,"May 19, 2017 3:37:00 PM",NA,NA,NA,"t41613041","t41613041",4,1,2,NA,55,1,NA,1,NA,"2",NA,4,2,NA,2,NA,"29",NA,NA,1,NA,1,"5 3",NA,4,5,"Sweet potatoes",5,3,4,0.831085246488759,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,"3 7 9",NA,NA,2,1,1,1,NA,NA,0.730092040049633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,0.520789571523707,NA,2,NA,NA,2,NA,NA,2,1,1,1,NA,2,2,0.849494157464131,"you see a group of people from your community standing nearby, discussing the incident","nolaba ekibinja ky abantu okuva mukitundu kyo nga bayimiridde okumpi, nga bogera ku kiguddewo",1,NA,NA,NA,NA,1,NA,0.598614612757575,"Nabakyala","man","Woman","omusajja","omukazi",1,NA,NA,1,1,2,1,2,0.693162493938509,1,NA,"Muganda",9,NA,2,NA,NA,2,1,"4",NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,6,NA,1,NA,3,"Phone owner is mrs nantumbwe ","uuid:ec51aad2-c26f-48da-9eb6-7e21e9dc4419",1705190627,"uuid:ec51aad2-c26f-48da-9eb6-7e21e9dc4419",95
"9","May 19, 2017 7:14:37 PM","May 19, 2017 10:04:57 AM","May 19, 2017 11:41:51 AM",30,NA,NA,NA,NA,1,NA,1,1,"May 19, 2017 10:09:00 AM",41623811,41623811,"Mubende",NA,NA,NA,1,3,22,NA,NA,NA,7,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,"10",NA,3,5,"Lumonde",5,2,5,0.0444784237769177,1,NA,2,1,2,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 3 4",NA,NA,1,2,2,1,NA,NA,0.0628349003344711,2,1,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,0.00954213025886463,1,NA,NA,NA,1,NA,2,NA,2,1,2,NA,1,1,0.444167984912005,"you know that you are the only who has observed the incident","ng omanyi nti gwe weka alabye ekintu ekiguddewo",1,NA,NA,NA,NA,1,NA,0.039578991534268,"LC1","man","Woman","omusajja","omukazi",1,NA,NA,1,1,1,2,2,0.89044786386482,29,NA,"Mutooro",NA,NA,NA,NA,NA,2,2,"2",NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,2,NA,NA,NA,NA,NA,4,NA,1,NA,2,NA,"uuid:17796d87-9404-4104-a475-35995a1d52dc",1705190627,"uuid:17796d87-9404-4104-a475-35995a1d52dc",96
"10","May 19, 2017 7:14:39 PM","May 19, 2017 8:14:28 PM","May 19, 2017 9:16:32 PM",23,NA,NA,NA,NA,1,NA,2,2,"May 19, 2017 8:16:00 PM",NA,NA,NA,"t41623031","t41623031",4,2,2,NA,34,2,NA,1,NA,"11",NA,11,NA,2,34,NA,"1 2 29",NA,NA,15,"Musawo",3,"1 3 4",NA,3,8,"Matooke Ne nyama",5,1,5,0.139246061461555,1,NA,1,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 2 3",NA,NA,2,1,2,2,NA,NA,0.996358273025803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,1,NA,NA,2,NA,2,0.70073582250501,NA,NA,2,NA,2,2,NA,NA,1,1,1,NA,1,2,0.203481483802396,"you know that you are the only who has observed the incident","ng omanyi nti gwe weka alabye ekintu ekiguddewo",1,NA,NA,NA,NA,2,NA,0.447382740534985,"Nabakyala","woman","Man","omukazi","omusajja",2,NA,NA,2,2,2,1,2,0.252146675276595,29,NA,"Mutooro",9,NA,2,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,7,4,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,3,NA,1,NA,1,"She was some how in a hurry  but we managed to complete. Did not capture the GPS ","uuid:fa66d038-dcd9-4578-bef6-542c20e39ee6",1705190627,"uuid:fa66d038-dcd9-4578-bef6-542c20e39ee6",96
