"","SubmissionDate","starttime","endtime","enum","note_1","note_2","intro","audio","audio_consent","consent_text","consent","note_3","date_time","id","id_2","district","tracking","time_2","sex_q2_1","day_q2_2","age_q2_3","rel_q2_4","q2_4_oth","status_q2_5","q2_5_oth","note2_6","members_q2_6","child_q2_7","older_q2_8","younger_q2_9","q2_9err","born_q2_10","lc1_naba_vht_q2_11","q2_12err","discuss_q2_13","big_city_q2_14","kla_q2_14","vill16_q2_15","educ_q2_21","read_q2_22","read_q2_22b","lang_q2_23","q2_23_oth","other_lang_q2_24","q2_24err","q2_24_oth","tribe_q2_25","q2_25_oth","tribe1","uga_q2_22","uga_q2_22b","time_3","activity_q3_1","q3_1_oth","free_time_q3_2","q3_2err","convers_q3_3","q3_3err","time_4","news_q4_1","oly_q4_2","africa_cup_q4_3","watchTV_q4_1","mobile_q4_2","time_5","living_cond_q5_1","living_tribe_q5_2","living_tribe_q5_2b","cond_parents_q5_3","cond_children_q5_4","randomdraw1","hardwork_q5_5","hardwork_q5_6","religious_q5_7","religious_q5_8","willing_q5_9","willing_q5_10","time_6","new_ideas_q6_2a_c1","goals_q6_2","q6_2err","time_7","note7_1","achiever_q7_1","kneel_q7_3","woman_earns_q7_3","women_leaders_q7_5","time_8","note8","note_sec8","audio_sec8","note8_1","randomdraw2","action_q8_1a_1","action_q8_1b_1","action_q8_1b_2_1","action_q8_1c_1","action_q8_1d_1","action_q8_1d_2_1","action_q8_1a_2","action_q8_1b_2","action_q8_1b_2_2","action_q8_1c_2","action_q8_1d_2","action_q8_1d_2_2","action_q8_1a_3","action_q8_1b_3","action_q8_1b_2_3","action_q8_1c_3","action_q8_1d_3","action_q8_1d_2_3","action_q8_1a_4","action_q8_1b_4","action_q8_1b_2_4","action_q8_1c_4","action_q8_1d_4","action_q8_1d_2_4","note8_2","disobeys_q8_1a","disobeys_yes","disobeys_no","randomdraw3","chat_q8_1b","fin_pressure_q8_1c","no_housework_q8_1e","note8_3","disobeys_community_q8_2","housework_comm_q8_4","chat_community_q8_5","fin_press_comm_q8_6","react_q8_7","intervene_q8_9","note8_1f","time_9","note9_1","randomdraw4","citizens_q9_1a_1","citizens_q9_1a_2","randomdraw5","government_q9_1b_1","government_q9_1b_2","elders_q9_2","time_10","randomdraw6","note_10_1","time_11","robbed_police_q11_5","gov_resp_q11_2","time_12","time_13","religion_q14_1","q14_1_oth","religion_times_q14_2","pray_private_q14_4","time_14","killed_witch_q14_1","possible_kill_q14_1b","randomdraw9","time_15","randomdraw11","note15_1son","qualities_son_q15_2_3","move_son_q15_3","qualities_daughter_q15_2_3","move_daughter_q15_3","time_16","note16_1","note16_1_2","beaten_comm_q16_1","woman_beaten_q16_1b","report_q16_1c","q16_1err","report_q16_1c_oth","note16_2","once_week_q16_2","once_week_q16_2b","once_month_q16_2b","friends_fam_q16_3","note17","note17_1","dwelling_q16_1","q16_1_oth","note17_2","rooms_q16_2","walls_q16_5","q16_5_oth","floor_q16_6","q16_6_oth","light_q16_7","q16_7_oth","fuel_q16_8","q16_8_oth","time_18","note18_1","radio_q17_1","tv_q17_2","cellphone_q17_5","cellpone_internet_q17_5a","cellphone_battery_q17_5b","cellphone_unit_q17_5b_units","chair_q17_7","sofa_q17_8","motor_cycle_q17_15","time_19","films_q17_1","other_attend_q17_2","audio_sec19","note_sec19","content_q17_1b","q19_3err","content_q17_1b_oth","hear_q19_4","q19_4err","hear_q19_4_oth","note_sec19_2","time_20","person_q18_1","relationship_person_q18_2","q18_2_oth","q18_2berr","note18","followup_q18_3","note20","observe_conditions_q18_4","note20_2","note21","instanceID","formdef_version","KEY","tc_id"
"1","Oct 15, 2016 11:03:24 AM","Oct 14, 2016 12:31:31 PM","Oct 14, 2016 1:42:50 PM",55,NA,NA,NA,NA,1,NA,1,NA,"Oct 14, 2016 12:31:00 PM",12345678,12345678,2,1,"2016-Oct-14 12:32:30",1,3,18,4,NA,7,NA,NA,2,1,0,1,NA,0,"11",NA,2,1,NA,2,4,2,NA,2,NA,"1",NA,NA,1,NA,"Muganda",3,NA,"2016-Oct-14 12:36:25",6,NA,"3 10 5 6",NA,"5 1 7",NA,"2016-Oct-14 12:39:22",5,NA,3,4,5,"2016-Oct-14 12:41:10",3,3,NA,2,2,0.737545839805933,NA,NA,NA,NA,3,2,"2016-Oct-14 12:31:32",1,"1 2 7",NA,"2016-Oct-14 12:46:27",NA,1,2,1,2,"2016-Oct-14 12:47:47",NA,NA,"media\AA_496860fb-e6dc-4c40-9f0a-b4f797e2798b_note8_1.3gpp",NA,0.621494971080913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,0.939563546733067,NA,NA,2,NA,2,2,NA,NA,1,1,NA,"2016-Oct-14 12:55:27",NA,0.943891957146267,NA,2,0.0788766595389022,2,NA,1,"2016-Oct-14 12:57:08",0.794649941732739,NA,"2016-Oct-14 13:02:14",3,2,"2016-Oct-14 13:04:17","2016-Oct-14 13:15:39",11,NA,1,1,"2016-Oct-14 13:16:19",1,NA,0.342179916121953,"2016-Oct-14 13:19:59",0.978002840728905,NA,NA,NA,2,2,"2016-Oct-14 13:24:06",NA,NA,10,3,"4",NA,NA,NA,1,1,NA,2,NA,NA,3,NA,NA,1,5,NA,7,NA,7,NA,9,"Don't cook","2016-Oct-14 13:28:12",NA,1,2,2,NA,NA,NA,1,2,2,"2016-Oct-14 13:28:40",7,3,"media\AA_496860fb-e6dc-4c40-9f0a-b4f797e2798b_note_sec19.3gpp",NA,NA,NA,NA,1,NA,NA,NA,"2016-Oct-14 13:29:07",2,NA,NA,NA,NA,1,NA,3,NA,NA,"uuid:496860fb-e6dc-4c40-9f0a-b4f797e2798b",1610121154,"uuid:496860fb-e6dc-4c40-9f0a-b4f797e2798b",17
"2","Oct 15, 2016 11:07:22 AM","Oct 14, 2016 9:26:54 AM","Oct 14, 2016 12:44:04 PM",34,NA,NA,NA,NA,1,NA,1,NA,"Oct 14, 2016 11:10:00 AM",12345678,12345678,3,1,"2016-Oct-14 11:11:37",1,2,38,1,NA,1,NA,NA,4,2,0,3,NA,4,"11",NA,1,1,NA,2,6,2,NA,2,NA,"2 29",NA,NA,1,NA,"Muganda",1,NA,"2016-Oct-14 11:20:31",1,NA,"10 4 5 8",NA,"5 1 7 9",NA,"2016-Oct-14 11:25:37",5,1,3,3,5,"2016-Oct-14 11:28:22",1,1,NA,1,1,0.687845597623918,NA,NA,NA,NA,1,1,"2016-Oct-14 10:58:42",1,"6 7 8",NA,"2016-Oct-14 11:38:08",NA,2,1,1,1,"2016-Oct-14 11:39:39",NA,NA,NA,NA,0.542794658382836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,0.117383118719212,2,NA,NA,NA,1,NA,1,NA,1,1,NA,"2016-Oct-14 11:48:01",NA,0.548625542849507,NA,2,0.322360328721132,1,NA,1,"2016-Oct-14 11:50:41",0.361968694974201,NA,"2016-Oct-14 11:59:11",1,1,"2016-Oct-14 12:01:56","2016-Oct-14 12:14:48",11,NA,0,1,"2016-Oct-14 12:15:54",2,1,0.925128677771487,"2016-Oct-14 12:19:44",0.181017430192838,NA,1,2,NA,NA,"2016-Oct-14 12:24:47",NA,NA,2,1,"2 3",NA,NA,NA,2,NA,3,2,NA,NA,3,NA,NA,2,5,NA,7,NA,7,NA,2,NA,"2016-Oct-14 12:31:46",NA,1,1,1,1,5,3,1,1,2,"2016-Oct-14 12:32:50",7,1,NA,NA,NA,NA,NA,4,NA,NA,NA,"2016-Oct-14 12:34:51",2,NA,NA,NA,NA,1,NA,2,NA,NA,"uuid:0b32a63e-013c-483f-874a-70e1de6bcb71",1610121154,"uuid:0b32a63e-013c-483f-874a-70e1de6bcb71",39
"3","Oct 15, 2016 11:08:03 AM","Oct 13, 2016 1:03:05 PM","Oct 13, 2016 4:36:45 PM",19,NA,NA,NA,NA,1,NA,1,NA,"Oct 13, 2016 1:03:00 PM",22222222,22222222,2,1,"2016-Oct-13 13:06:38",1,2,35,1,NA,1,NA,NA,5,3,0,4,NA,8,"11",NA,4,1,NA,2,6,1,NA,2,NA,"29 30",NA,NA,33,"Tanzanian",NA,NA,2,"2016-Oct-13 15:13:17",1,NA,"1 9 3 10",NA,"7",NA,"2016-Oct-13 15:15:39",5,1,1,2,5,"2016-Oct-13 15:20:13",2,NA,1,2,2,0.455492501729996,NA,NA,2,2,NA,NA,"2016-Oct-13 13:03:05",1,"1 4 5",NA,"2016-Oct-13 15:28:22",NA,1,2,1,1,"2016-Oct-13 15:30:57",NA,NA,NA,NA,0.892997674350469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,1,1,NA,NA,1,1,NA,0.444940749874053,NA,1,NA,NA,1,NA,NA,2,1,1,NA,"2016-Oct-13 15:45:00",NA,0.00998264002332028,1,NA,0.931681846539228,NA,2,2,"2016-Oct-13 15:48:52",0.985774543174847,NA,"2016-Oct-13 15:55:53",1,2,"2016-Oct-13 16:01:04","2016-Oct-13 16:11:56",6,NA,1,4,"2016-Oct-13 16:12:56",2,1,0.799636566752652,"2016-Oct-13 16:17:41",0.1083177860969,NA,3,1,NA,NA,"2016-Oct-13 16:20:38",NA,NA,1,1,"1",NA,NA,NA,2,NA,1,2,NA,NA,2,NA,NA,2,5,NA,6,NA,5,NA,3,NA,"2016-Oct-13 16:27:36",NA,1,1,1,2,3,3,2,1,2,"2016-Oct-13 16:29:07",4,3,NA,NA,"1",NA,NA,NA,NA,NA,NA,"2016-Oct-13 16:30:20",2,NA,NA,NA,NA,1,NA,3,NA,NA,"uuid:f2c36267-c8c7-4255-b984-ad6d3b3af29b",1610121154,"uuid:f2c36267-c8c7-4255-b984-ad6d3b3af29b",16
"4","Oct 15, 2016 11:08:26 AM","Oct 14, 2016 10:50:13 AM","Oct 14, 2016 12:11:50 PM",40,NA,NA,NA,NA,1,NA,1,NA,"Oct 14, 2016 10:55:00 AM",12345678,12345678,1,1,"2016-Oct-14 10:56:12",2,3,22,2,NA,2,NA,NA,3,1,1,1,NA,1,"10",NA,3,1,NA,2,11,NA,2,2,NA,"1",NA,NA,1,NA,"Muganda",3,NA,"2016-Oct-14 11:03:09",8,NA,"1 9 10 6",NA,"5 4",NA,"2016-Oct-14 11:06:36",5,1,1,4,5,"2016-Oct-14 11:08:36",2,3,NA,2,2,0.318641191913389,1,1,NA,NA,NA,NA,"2016-Oct-14 10:50:14",1,"5 6 7",NA,"2016-Oct-14 11:15:29",NA,2,2,2,1,"2016-Oct-14 11:18:01",NA,NA,"media\AA_c6058aab-1d97-4dd2-b7d8-f3bcdcc88e30_note8_1.3gpp",NA,0.279122968067019,NA,NA,NA,NA,NA,NA,2,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,0.907369911274011,NA,NA,2,NA,2,2,NA,NA,1,1,NA,"2016-Oct-14 11:24:46",NA,0.176419299262521,1,NA,0.746850482495074,NA,2,2,"2016-Oct-14 11:27:31",0.253180175966643,NA,"2016-Oct-14 11:33:38",2,2,"2016-Oct-14 11:35:25","2016-Oct-14 11:48:57",3,NA,1,2,"2016-Oct-14 11:49:44",1,NA,0.887843432604325,"2016-Oct-14 11:52:07",0.735952817778617,NA,NA,NA,2,1,"2016-Oct-14 11:54:14",NA,NA,0,NA,NA,NA,NA,NA,2,NA,3,1,NA,NA,2,NA,NA,1,7,NA,7,NA,7,NA,2,NA,"2016-Oct-14 11:57:42",NA,1,1,1,1,5,3,1,1,2,"2016-Oct-14 11:58:25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-Oct-14 11:58:31",2,NA,NA,NA,NA,1,NA,3,NA,NA,"uuid:c6058aab-1d97-4dd2-b7d8-f3bcdcc88e30",1610121154,"uuid:c6058aab-1d97-4dd2-b7d8-f3bcdcc88e30",8
"5","Oct 15, 2016 11:09:16 AM","Oct 14, 2016 11:02:04 AM","Oct 14, 2016 1:21:27 PM",33,NA,NA,NA,NA,1,NA,1,NA,"Oct 14, 2016 11:12:00 AM",12345678,12345678,4,1,"2016-Oct-14 11:13:00",2,2,29,1,NA,4,NA,NA,3,2,0,2,NA,3,"11",NA,3,1,NA,2,6,2,NA,2,NA,"2",NA,NA,1,NA,"Muganda",3,NA,"2016-Oct-14 11:21:26",1,NA,"1 10 11 8",NA,"4",NA,"2016-Oct-14 11:25:23",1,NA,NA,6,3,"2016-Oct-14 11:27:48",1,3,NA,3,2,0.728872575733056,NA,NA,NA,NA,1,3,"2016-Oct-14 11:02:04",1,"3 5 8",NA,"2016-Oct-14 11:36:50",NA,2,2,2,1,"2016-Oct-14 11:38:27",NA,NA,"media\AA_0e50dd1e-6c5e-4b1d-a2c6-27e7079c343e_note8_1.3gpp",NA,0.233728462553015,2,1,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,0.058281932291786,1,NA,NA,NA,1,NA,1,NA,2,2,NA,"2016-Oct-14 11:52:18",NA,0.253207721797594,2,NA,0.593153182500319,NA,1,1,"2016-Oct-14 11:56:01",0.960643522598744,NA,"2016-Oct-14 12:03:16",3,2,"2016-Oct-14 12:05:41","2016-Oct-14 12:23:56",3,NA,0,7,"2016-Oct-14 12:25:24",2,1,0.670575684785013,"2016-Oct-14 12:28:03",0.458316909255663,NA,1,1,NA,NA,"2016-Oct-14 12:30:27",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,3,NA,NA,1,5,NA,7,NA,1,NA,2,NA,"2016-Oct-14 12:34:45",NA,2,2,2,NA,NA,NA,2,2,2,"2016-Oct-14 12:35:13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-Oct-14 12:35:22",NA,NA,NA,NA,NA,NA,NA,2,NA,NA,"uuid:0e50dd1e-6c5e-4b1d-a2c6-27e7079c343e",1610121154,"uuid:0e50dd1e-6c5e-4b1d-a2c6-27e7079c343e",95
"6","Oct 15, 2016 11:11:02 AM","Oct 14, 2016 11:16:51 AM","Oct 14, 2016 1:18:09 PM",24,NA,NA,NA,NA,1,NA,1,NA,"Oct 14, 2016 11:17:00 AM",12345678,12345678,1,1,"2016-Oct-14 11:19:18",2,1,38,2,NA,2,NA,NA,4,1,1,2,NA,4,"11",NA,3,1,NA,2,18,NA,4,2,NA,"2",NA,NA,1,NA,"Muganda",1,NA,"2016-Oct-14 11:36:50",1,NA,"1 11 6 8",NA,"8",NA,"2016-Oct-14 11:42:10",1,NA,NA,6,1,"2016-Oct-14 11:44:21",1,2,NA,3,2,0.227973498872298,3,NA,NA,NA,NA,NA,"2016-Oct-14 11:16:52",1,"3 4 5",NA,"2016-Oct-14 11:53:09",NA,1,2,1,2,"2016-Oct-14 11:55:30",NA,NA,"media\AA_70221566-5a56-40fb-9044-5702e8e2a597_note8_1.3gpp",NA,0.778653499130568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,2,NA,NA,1,1,NA,0.49760499177169,NA,2,NA,NA,NA,NA,NA,NA,1,1,NA,"2016-Oct-14 12:14:39",NA,0.701600474150224,NA,1,0.30498940956662,2,NA,1,"2016-Oct-14 12:18:22",0.200099825937021,NA,"2016-Oct-14 12:34:44",3,2,"2016-Oct-14 12:37:25","2016-Oct-14 12:57:11",3,NA,1,4,"2016-Oct-14 12:58:07",2,1,0.103928710096062,"2016-Oct-14 13:00:35",0.816322561540911,NA,NA,NA,2,1,"2016-Oct-14 13:03:12",NA,NA,0,NA,NA,NA,NA,NA,2,NA,3,1,NA,NA,2,NA,NA,4,5,NA,1,NA,1,NA,3,NA,"2016-Oct-14 13:07:51",NA,2,2,2,NA,NA,NA,1,2,2,"2016-Oct-14 13:08:39",NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-Oct-14 13:09:30",2,NA,NA,NA,NA,1,NA,4,NA,NA,"uuid:70221566-5a56-40fb-9044-5702e8e2a597",1610121154,"uuid:70221566-5a56-40fb-9044-5702e8e2a597",1
"7","Oct 15, 2016 11:11:17 AM","Oct 13, 2016 1:24:29 PM","Oct 13, 2016 5:06:38 PM",53,NA,NA,NA,NA,1,NA,1,NA,"Oct 13, 2016 3:00:00 PM",12345678,12345678,2,1,"2016-Oct-13 15:02:51",2,3,23,7,NA,7,NA,NA,7,0,5,1,NA,0,"2",NA,1,1,NA,2,19,NA,2,29,NA,"1 2",NA,NA,21,NA,"Munyankole",2,NA,"2016-Oct-13 15:19:11",1,NA,"1 9 3",NA,"5 1 2 3",NA,"2016-Oct-13 15:28:44",5,1,NA,6,5,"2016-Oct-13 15:34:47",3,2,NA,2,2,0.822894393615484,NA,NA,NA,NA,1,3,"2016-Oct-13 14:37:47",1,"4 5 6",NA,"2016-Oct-13 15:44:37",NA,1,2,2,1,"2016-Oct-13 15:50:20",NA,NA,"media\AA_f438f0a2-0e27-45d8-88b0-37dcccf9b023_note8_1.3gpp",NA,0.689309607065809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,0.265316562951055,2,NA,NA,NA,2,NA,2,NA,1,1,NA,"2016-Oct-13 16:01:25",NA,0.917384936894575,NA,1,0.845244791908915,NA,2,1,"2016-Oct-13 16:04:40",0.496042635351715,NA,"2016-Oct-13 16:10:40",2,1,"2016-Oct-13 16:12:18","2016-Oct-13 16:38:14",9,NA,1,1,"2016-Oct-13 16:41:03",2,2,0.730015270422713,"2016-Oct-13 16:42:26",0.263211270644453,NA,3,1,NA,NA,"2016-Oct-13 16:47:59",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,2,1,NA,2,NA,7,NA,6,NA,"2016-Oct-13 16:54:29",NA,2,2,1,2,3,2,1,1,1,"2016-Oct-13 16:56:09",5,4,"media\AA_f438f0a2-0e27-45d8-88b0-37dcccf9b023_note_sec19.3gpp",NA,"4",NA,NA,NA,NA,NA,NA,"2016-Oct-13 16:58:49",2,NA,NA,NA,NA,1,NA,4,NA,NA,"uuid:f438f0a2-0e27-45d8-88b0-37dcccf9b023",1610121154,"uuid:f438f0a2-0e27-45d8-88b0-37dcccf9b023",19
"8","Oct 15, 2016 11:15:58 AM","Oct 14, 2016 10:59:38 AM","Oct 14, 2016 12:21:32 PM",21,NA,NA,NA,NA,1,NA,1,NA,"Oct 14, 2016 11:00:00 AM",12345678,12345678,1,1,"2016-Oct-14 11:01:17",1,1,52,1,NA,1,NA,NA,5,3,0,4,NA,20,"7",NA,4,2,NA,2,6,2,NA,2,NA,"37",NA,NA,1,NA,"Muganda",5,NA,"2016-Oct-14 11:07:51",6,NA,"10 4 6 8",NA,"8",NA,"2016-Oct-14 11:13:59",5,NA,3,1,5,"2016-Oct-14 11:17:31",1,1,NA,2,1,0.992834811746472,NA,NA,NA,NA,3,3,"2016-Oct-14 10:59:39",0,"3 7 8",NA,"2016-Oct-14 11:27:15",NA,1,2,1,2,"2016-Oct-14 11:29:32",NA,NA,"media\AA_6c790d4d-b9f7-4b5b-9189-40b284ac5993_note8_1.3gpp",NA,0.129759672486733,2,1,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,0.565305013309818,NA,2,NA,NA,2,NA,NA,1,1,1,NA,"2016-Oct-14 11:41:19",NA,0.383453657140978,2,NA,0.900373662387525,NA,2,1,"2016-Oct-14 11:43:49",0.7401547392115,NA,"2016-Oct-14 11:49:50",1,1,"2016-Oct-14 11:52:23","2016-Oct-14 12:07:23",11,NA,7,1,"2016-Oct-14 12:08:50",2,1,0.67239832864403,"2016-Oct-14 12:11:24",0.636836134860285,NA,NA,NA,1,1,"2016-Oct-14 12:13:43",NA,NA,0,NA,NA,NA,NA,NA,2,NA,3,1,NA,NA,2,NA,NA,4,5,NA,1,NA,6,NA,3,NA,"2016-Oct-14 12:16:31",NA,1,1,1,2,3,3,1,1,1,"2016-Oct-14 12:17:03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-Oct-14 12:17:28",2,NA,NA,NA,NA,1,NA,2,NA,NA,"uuid:6c790d4d-b9f7-4b5b-9189-40b284ac5993",1610121154,"uuid:6c790d4d-b9f7-4b5b-9189-40b284ac5993",1
"9","Oct 15, 2016 11:15:59 AM","Oct 14, 2016 11:31:10 AM","Oct 14, 2016 5:01:14 PM",37,NA,NA,NA,NA,2,NA,1,NA,"Oct 14, 2016 11:43:00 AM",45421838,45421838,4,1,"2016-Oct-14 11:44:50",2,1,21,2,NA,2,NA,NA,4,2,1,2,NA,2,"11",NA,3,2,NA,2,10,NA,2,2,NA,"1",NA,NA,26,NA,"Musoga",3,NA,"2016-Oct-14 11:50:09",12,NA,"1 4 11 6",NA,"5 1 4 9",NA,"2016-Oct-14 11:53:33",5,2,1,6,4,"2016-Oct-14 11:55:33",3,3,NA,2,2,0.295136777678102,3,3,NA,NA,NA,NA,"2016-Oct-14 11:31:11",1,"1 3 5",NA,"2016-Oct-14 12:05:10",NA,2,2,2,1,"2016-Oct-14 12:07:07",NA,NA,NA,NA,0.0776016391934387,1,2,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,0.955593725759423,NA,NA,2,NA,2,2,NA,NA,2,2,NA,"2016-Oct-14 12:11:03",NA,0.141072531073845,2,NA,0.448449896480414,2,NA,1,"2016-Oct-14 12:12:43",0.00903721431400406,NA,"2016-Oct-14 12:16:38",1,2,"2016-Oct-14 12:19:14","2016-Oct-14 12:25:51",4,NA,1,2,"2016-Oct-14 12:27:05",1,NA,0.139757947973179,"2016-Oct-14 12:30:32",0.894489615057013,NA,NA,NA,2,1,"2016-Oct-14 12:33:04",NA,NA,0,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,2,NA,NA,1,5,NA,7,NA,5,NA,3,NA,"2016-Oct-14 12:38:04",NA,1,2,2,NA,NA,NA,1,2,1,"2016-Oct-14 12:38:42",8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-Oct-14 12:39:20",2,NA,NA,NA,NA,1,NA,3,NA,NA,"uuid:c22a129e-98fe-4f57-bc80-18d5a2b6f502",1610121154,"uuid:c22a129e-98fe-4f57-bc80-18d5a2b6f502",112
"10","Oct 15, 2016 11:16:25 AM","Oct 14, 2016 11:00:20 AM","Oct 14, 2016 3:34:11 PM",28,NA,NA,NA,NA,1,NA,1,NA,"Oct 14, 2016 11:20:00 AM",88888888,88888888,1,1,"2016-Oct-14 11:21:29",2,1,25,1,NA,5,NA,NA,5,4,0,4,NA,5,"11",NA,3,2,NA,1,6,2,NA,2,NA,"2",NA,NA,1,NA,"Muganda",5,NA,"2016-Oct-14 11:32:53",7,NA,"1 9 10 8",NA,"8",NA,"2016-Oct-14 11:40:13",3,NA,3,6,5,"2016-Oct-14 11:42:06",1,1,NA,NA,NA,0.58706916000733,NA,NA,NA,3,NA,NA,"2016-Oct-14 11:00:20",1,"2 4 6",NA,"2016-Oct-14 11:52:48",NA,2,2,2,2,"2016-Oct-14 11:54:44",NA,NA,"media\AA_92f000cf-56f7-40e9-8e75-ef2bd834b119_note8_1.3gpp",NA,0.705574493471024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,0.623213762388694,NA,2,NA,NA,2,NA,NA,2,1,1,NA,"2016-Oct-14 12:04:56",NA,0.549511455907908,NA,2,0.786565824858277,NA,1,2,"2016-Oct-14 12:07:24",0.457245316708222,NA,"2016-Oct-14 12:13:03",1,2,"2016-Oct-14 12:17:29","2016-Oct-14 12:37:35",4,NA,1,2,"2016-Oct-14 12:38:55",2,1,0.412308677532531,"2016-Oct-14 12:45:32",0.122962649748563,NA,3,1,NA,NA,"2016-Oct-14 12:49:22",NA,NA,0,NA,NA,NA,NA,NA,2,NA,3,1,NA,NA,3,NA,NA,2,5,NA,7,NA,1,NA,2,NA,"2016-Oct-14 12:54:06",NA,1,2,1,2,7,3,1,1,2,"2016-Oct-14 12:55:28",8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-Oct-14 12:55:58",1,2,NA,NA,NA,1,NA,4,NA,NA,"uuid:92f000cf-56f7-40e9-8e75-ef2bd834b119",1610121154,"uuid:92f000cf-56f7-40e9-8e75-ef2bd834b119",1
