"","SubmissionDate","starttime","endtime","tl","note_1","note_2","intro","consent_text","consent","note_3","date_time","id","gender_q2_1","age_q2_2","vht_naba","long_VHT_q2_3","unit_q2_3vht","number_q2_3vht","started_VHT_q2_4","paid_q2_5vht","earn_q2_6vht","long_naba_q2_3","unit_q2_3naba","number_q2_3naba","started_naba_q2_4","paid_q2_5naba","earn_q2_6naba","hospital_q2_7","unit_q2_7","number_q2_7","hospital_q2_7b","unit_q2_7b","number_q2_7b","households_q2_8","visits_q2_9","visits_q2_9units","visits_q2_9number","note_3_1","violence_q3_1f","other_q3_1g","other_q3_1g_number","q3_2err","note_3_3","victim_q3_3a","perpetrator_q3_3b","victim_fam_q3_3c","perpetrator_fam_q3_3d","victim_friends_q3_3e","perpetrator_friends_q3_3f","neighbors_q3_3g","other_q3_3h","other_q3_3h_number","q3_3err","viol_unreported_q3_2","viol_unreported_q3_3b","viol_nomedic_q3_5","viol_nomedic_q3_5why","advice_q3_6","years_vill_q2_12","people_known_q2_13","intervene_q8_9","friends_fam_q16_3","note_q6_1","rounds_q6_1","machete_q6_2","killed_witch_q14_1","possible_kill_q14_1b","witchdoctor_q6_4","films_q17_1","other_attend_q17_2","note_thanks","instanceID","formdef_version","KEY","tc_id"
"1","May 18, 2017 5:49:09 PM","May 18, 2017 10:31:02 AM","May 18, 2017 10:55:30 AM",6,NA,NA,NA,NA,1,NA,"May 18, 2017 10:31:00 AM","V410201",2,46,1,NA,2,5,"She was elected by the village members",2,"She is a farmer thus sells some of her produce",NA,NA,NA,NA,NA,NA,NA,1,50,NA,1,20,150,NA,2,2,NA,7,"0",0,NA,NA,7,0,0,0,0,0,0,"0",0,NA,NA,NA,1,"Due to lack of councelling and finacial help","Visit the couple and talk with them about the matter and advise the one who is wrong to stop the habbit that might have caused the misunderstandings",9,3,1,1,NA,2,1,2,1,3,7,2,NA,"uuid:f2a08d54-18d2-456e-9445-e2b61e4dca8a",1705151231,"uuid:f2a08d54-18d2-456e-9445-e2b61e4dca8a",73
"2","May 18, 2017 5:49:08 PM","May 18, 2017 9:33:31 AM","May 18, 2017 10:12:33 AM",6,NA,NA,NA,NA,1,NA,"May 18, 2017 9:34:00 AM","V410202",1,46,1,NA,2,5,"He was elected by the citizens.",2,"He is a farmer thus sells some of his produce.",NA,NA,NA,NA,NA,NA,NA,1,90,NA,1,30,137,NA,2,2,NA,4,"The directions and locations of refferal hospitals in cases of pregnant mothers",0,NA,NA,4,0,0,0,0,0,0,"0",0,NA,NA,NA,1,"Inadequate finances in families","Call the husband and reconcile the the couple",16,3,1,1,NA,2,1,1,1,3,8,4,NA,"uuid:1c77bc7c-5197-443e-9caf-f19b56e113a8",1705151231,"uuid:1c77bc7c-5197-443e-9caf-f19b56e113a8",73
"3","May 18, 2017 5:49:09 PM","May 18, 2017 11:08:35 AM","May 18, 2017 11:36:33 AM",6,NA,NA,NA,NA,1,NA,"May 18, 2017 11:08:00 AM","V410204",2,55,2,NA,NA,NA,NA,NA,NA,NA,2,6,"She was elected by the village members",2,"She has a small stall selling charcoal and vegetables",NA,1,120,NA,1,60,NA,NA,NA,NA,NA,12,"0",0,NA,NA,10,0,0,0,0,0,2,"0",0,NA,NA,NA,2,NA,"Call them and listen to both sides and advise accordingly depending on the one in the wrong thus reconciles the couple",11,3,1,1,NA,2,2,1,2,3,7,1,NA,"uuid:8dab515b-802e-4c09-ae76-bfed47ee4623",1705151231,"uuid:8dab515b-802e-4c09-ae76-bfed47ee4623",73
"4","May 18, 2017 5:49:10 PM","May 18, 2017 12:04:08 PM","May 18, 2017 12:24:36 PM",6,NA,NA,NA,NA,1,NA,"May 18, 2017 12:04:00 PM","V410205",1,45,1,NA,2,3,"He replaced the Vht who shifted to another village.",2,"He is a farmer and owns a barbers saloon",NA,NA,NA,NA,NA,NA,NA,1,30,NA,1,20,90,NA,3,7,NA,2,"0",0,NA,NA,2,0,0,0,0,0,0,"0",0,NA,NA,NA,2,NA,"Sit with the woman and ask her what would be the cause and later approaches the husband and listens to his side as well and then reconciles the two accordingly.",10,3,1,1,NA,2,1,2,1,3,7,2,NA,"uuid:784c9e7b-3bde-4a0a-80e7-8550c89381cb",1705151231,"uuid:784c9e7b-3bde-4a0a-80e7-8550c89381cb",73
"5","May 18, 2017 6:30:50 PM","May 18, 2017 2:19:17 PM","May 18, 2017 3:49:13 PM",3,NA,NA,NA,NA,1,NA,"May 18, 2017 2:47:00 PM","V410471",1,52,1,NA,2,11,"I was chosen in the village to get VHT training",1,"Yes",NA,NA,NA,NA,NA,NA,NA,2,1,NA,2,4,400,NA,2,1,NA,25,"Family planning",45,NA,NA,16,6,0,0,1,0,2,"0",0,NA,NA,NA,1,"Lack of money","I advice according to the report given from the victim ",28,2,1,1,NA,2,2,2,2,2,5,1,NA,"uuid:998e17a2-5897-4d9e-bd52-bec424dfc4c0",1705151231,"uuid:998e17a2-5897-4d9e-bd52-bec424dfc4c0",76
"6","May 18, 2017 6:35:57 PM","May 18, 2017 2:37:14 PM","May 18, 2017 3:18:12 PM",2,NA,NA,NA,NA,1,NA,"May 18, 2017 2:37:00 PM","v410472",2,66,1,NA,2,10,"I was voted for by people(comitte members)",2,"Farming",NA,NA,NA,NA,NA,NA,NA,1,20,NA,1,15,100,NA,3,1,NA,22,"00",0,NA,NA,18,1,2,1,0,0,0,"0",0,NA,NA,NA,1,"Lack of money","I have to first know the reasons why they fight and counsel them",46,2,1,1,NA,2,2,1,NA,3,7,3,NA,"uuid:3cc2545c-b18f-4050-a55d-143052496073",1705151231,"uuid:3cc2545c-b18f-4050-a55d-143052496073",76
"7","May 18, 2017 6:35:56 PM","May 18, 2017 2:00:08 PM","May 18, 2017 2:34:31 PM",2,NA,NA,NA,NA,1,NA,"May 18, 2017 2:00:00 PM","V410473",2,52,2,NA,NA,NA,NA,NA,NA,NA,2,23,"I was voted for by people",2,"Farming ",NA,1,4,NA,1,30,NA,NA,NA,NA,NA,9,"0",0,NA,NA,4,4,1,0,0,0,0,"0",0,NA,NA,NA,2,NA,"I first ask for the reason why she is beaten and the talk to both of them first.",28,2,1,1,NA,2,2,1,2,3,7,1,NA,"uuid:4fa3f744-410f-4e8a-9f2c-15dfecca757f",1705151231,"uuid:4fa3f744-410f-4e8a-9f2c-15dfecca757f",76
"8","May 18, 2017 8:07:02 PM","May 18, 2017 9:55:17 AM","May 18, 2017 2:08:34 PM",6,NA,NA,NA,NA,1,NA,"May 18, 2017 9:58:00 AM","V410203",2,36,1,NA,2,11,"First worked as a community worker in several NGOs then selected as vht",2,"Yes farming",NA,NA,NA,NA,NA,NA,NA,2,3,NA,2,5,546,NA,4,4,NA,2,"0",0,NA,NA,2,0,0,0,0,0,0,"0",0,NA,NA,NA,1,"Lack of money and alcoholism","Take the case to the CDO",20,2,1,1,NA,2,1,1,2,3,8,4,NA,"uuid:e0da809c-24e1-4922-abd8-9075222b648b",1705151231,"uuid:e0da809c-24e1-4922-abd8-9075222b648b",73
"9","May 18, 2017 8:07:36 PM","May 18, 2017 1:00:02 PM","May 18, 2017 1:26:14 PM",4,NA,NA,NA,NA,1,NA,"May 18, 2017 1:09:00 PM","V410031",2,45,1,NA,2,6,"I was appointed by the village people",2,"Farming",NA,NA,NA,NA,NA,NA,NA,2,2,NA,2,2,111,NA,3,1,NA,4,"Asking about HIV testing and councelling",7,NA,NA,4,0,0,0,0,0,0,"0",0,NA,NA,NA,2,NA,"Change her behaviour for the best",12,2,1,1,NA,1,2,1,1,3,7,1,NA,"uuid:bab14ec4-f74d-4028-883c-395febaa3a4d",1705151231,"uuid:bab14ec4-f74d-4028-883c-395febaa3a4d",71
"10","May 18, 2017 8:07:35 PM","May 18, 2017 10:14:01 AM","May 18, 2017 12:29:25 PM",4,NA,NA,NA,NA,1,NA,"May 18, 2017 10:29:00 AM","V410033",1,28,1,NA,2,2,"Chairman is the one who told me to go to kitenga subcounty to attend a training and after that training I was given a vht uniform to begin work. After about 6 months they sent us drugs.",2,"Am a farmer rearing animals, poultry, and crop husbandry.",NA,NA,NA,NA,NA,NA,NA,1,30,NA,1,30,86,NA,2,1,NA,4,"Water supply in this village",3,NA,NA,2,0,0,0,2,0,0,"0",0,NA,NA,NA,2,NA,"I ask her to call her husband and I advise her not to divorce.",27,1,2,2,NA,1,1,2,1,2,7,1,NA,"uuid:acaa98c8-487b-4034-bf11-5bac3949ab16",1705151231,"uuid:acaa98c8-487b-4034-bf11-5bac3949ab16",71
