"","SubmissionDate","starttime","endtime","tl","note_1","note_2","intro","consent_text","consent","note_3","date_time","id","gender_q2_1","age_q2_2","vht_naba","long_VHT_q2_3","unit_q2_3vht","number_q2_3vht","started_VHT_q2_4","paid_q2_5vht","earn_q2_6vht","long_naba_q2_3","unit_q2_3naba","number_q2_3naba","started_naba_q2_4","paid_q2_5naba","earn_q2_6naba","hospital_q2_7","unit_q2_7","number_q2_7","hospital_q2_7b","unit_q2_7b","number_q2_7b","households_q2_8","visits_q2_9","note_3_1","violence_q3_1f","other_q3_1g","other_q3_1g_number","q3_2err","note_3_3","victim_q3_3a","perpetrator_q3_3b","victim_fam_q3_3c","perpetrator_fam_q3_3d","victim_friends_q3_3e","perpetrator_friends_q3_3f","neighbors_q3_3g","other_q3_3h","other_q3_3h_number","q3_3err","viol_unreported_q3_2","viol_unreported_q3_3b","viol_nomedic_q3_5","viol_nomedic_q3_5why","advice_q3_6","years_vill_q2_12","people_known_q2_13","intervene_q8_9","friends_fam_q16_3","note_q6_1","rounds_q6_1","machete_q6_2","killed_witch_q14_1","possible_kill_q14_1b","witchdoctor_q6_4","films_q17_1","other_attend_q17_2","note_thanks","instanceID","formdef_version","KEY","tc_id"
"1","May 16, 2016 7:39:56 AM","May 16, 2016 7:36:06 AM","May 16, 2016 7:39:11 AM",NA,NA,NA,NA,NA,1,NA,"May 16, 2016 7:36:00 AM","V999999",2,99,1,NA,2,99,"Bjhoh",2,"Ooooo",NA,NA,NA,NA,NA,NA,NA,1,99,NA,1,99,99,"Llll",NA,1,"Loo",8,NA,NA,1,0,0,0,0,0,0,"0",0,NA,NA,NA,1,"Bjjgig","Higih",69,1,NA,NA,NA,2,"Ughh",NA,NA,2,2,NA,NA,"uuid:0dc5eb6c-0af2-4355-90c1-7b89fa31b1ef",1605152102,"uuid:0dc5eb6c-0af2-4355-90c1-7b89fa31b1ef",18
"2","May 16, 2016 3:44:24 PM","May 16, 2016 9:55:45 AM","May 16, 2016 11:21:44 AM",NA,NA,NA,NA,NA,1,NA,"May 16, 2016 10:35:00 AM","V113201",2,45,1,NA,2,5,"Was elected, then trained",2,"Yye, rearing animals , a farmer",NA,NA,NA,NA,NA,NA,NA,2,1,NA,1,30,50,"Once a month",NA,1,"About hygiene, about a new toilet technique",6,NA,NA,1,0,0,0,0,0,0,"0",0,NA,NA,NA,2,NA,"To consult nabakyala with her spouse for counselling",25,2,NA,NA,NA,1,"Goes to the hospital for treatment",NA,NA,3,5,NA,NA,"uuid:489f8c63-2a2b-41b6-8d6d-b6e1fdc187eb",1605152102,"uuid:489f8c63-2a2b-41b6-8d6d-b6e1fdc187eb",1
"3","May 16, 2016 3:44:26 PM","May 16, 2016 10:58:47 AM","May 16, 2016 11:20:43 AM",NA,NA,NA,NA,NA,1,NA,"May 16, 2016 11:00:00 AM","V113203",1,42,1,NA,2,6,"Elected by the chairperson, then trained",2,"Digging",NA,NA,NA,NA,NA,NA,NA,1,30,NA,1,15,78,"Once a month",NA,3,"None",0,NA,NA,1,2,0,0,0,0,0,"O",0,NA,NA,NA,1,"Misunderstanding with spouse makes them fear to seek assistance","Come to him for counseling",17,1,NA,NA,NA,1,"Has to go for medical assistance in the hospital",NA,NA,3,5,NA,NA,"uuid:5d70f9ef-cf78-464c-ac47-68debb6e1bb1",1605152102,"uuid:5d70f9ef-cf78-464c-ac47-68debb6e1bb1",1
"4","May 16, 2016 3:44:29 PM","May 16, 2016 1:30:38 PM","May 16, 2016 1:59:00 PM",NA,NA,NA,NA,NA,1,NA,"May 16, 2016 1:34:00 PM","V113204",1,35,1,NA,2,6,"Elected by the local council",2,"Boda rider",NA,NA,NA,NA,NA,NA,NA,1,45,NA,1,38,68,"4 times a year",NA,0,"None",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,"Request her to go to the police",35,2,NA,NA,NA,1,"Hospital medical assistance",NA,NA,3,6,NA,NA,"uuid:9293e453-6053-4bce-a066-9afe911a2f0b",1605152102,"uuid:9293e453-6053-4bce-a066-9afe911a2f0b",1
"5","May 16, 2016 3:44:28 PM","May 16, 2016 11:45:50 AM","May 16, 2016 12:08:55 PM",NA,NA,NA,NA,NA,1,NA,"May 16, 2016 11:50:00 AM","V113202",2,43,2,NA,NA,NA,NA,NA,NA,NA,2,26,"She was elected",2,"Farmer",NA,1,30,NA,1,10,NA,NA,NA,4,"None",0,NA,NA,4,0,0,0,0,0,0,"None",0,NA,NA,NA,2,NA,"Calls for a meeting with both partners",27,1,NA,NA,NA,1,"Hospital assistance  ",NA,NA,NA,6,NA,NA,"uuid:5d3e3e3c-3362-4d4e-99ec-5d2fb191eed8",1605152102,"uuid:5d3e3e3c-3362-4d4e-99ec-5d2fb191eed8",1
"6","May 16, 2016 3:44:30 PM","May 16, 2016 2:17:13 PM","May 16, 2016 2:41:46 PM",NA,NA,NA,NA,NA,1,NA,"May 16, 2016 2:17:00 PM","V113205",1,73,1,NA,2,5,"He was a village vacinnator trained by the health experts at kayunga",2,"Farmer",NA,NA,NA,NA,NA,NA,NA,1,30,NA,1,25,250,"Thrice in 6months",NA,3,"None",0,NA,NA,2,1,0,0,0,0,0,"None",0,NA,NA,NA,2,NA,"Call for a meeting with husband",50,3,NA,NA,NA,1,"Hospital medical assistance",NA,NA,3,6,NA,NA,"uuid:d5317281-93f6-4f42-aac7-7ba467d6793c",1605152102,"uuid:d5317281-93f6-4f42-aac7-7ba467d6793c",1
"7","May 16, 2016 5:35:14 PM","May 16, 2016 11:18:42 AM","May 16, 2016 11:51:26 AM",NA,NA,NA,NA,NA,1,NA,"May 16, 2016 11:18:00 AM","V111201",2,45,1,NA,2,5,"The Chairman LC1 is  the one who selected her",2,"Farming",NA,NA,NA,NA,NA,NA,NA,2,1,NA,1,30,250,"Once in a year",NA,0,"0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,1,"Fear for the husband not to be arrested by the law","I advise her to go to police and report the case",30,1,NA,NA,NA,1,"I would advice him or her to go to a near by clinic for first aid like dressing",NA,NA,3,5,NA,NA,"uuid:fedc2012-3512-4aa1-8f9d-3cada45cd59d",1605152102,"uuid:fedc2012-3512-4aa1-8f9d-3cada45cd59d",8
"8","May 16, 2016 5:35:15 PM","May 16, 2016 12:38:40 PM","May 16, 2016 1:07:32 PM",NA,NA,NA,NA,NA,1,NA,"May 16, 2016 12:38:00 PM","V111202",2,54,1,NA,2,6,"The chairman announced about the position and I was elected at the meeting",2,"Farming",NA,NA,NA,NA,NA,NA,NA,2,2,NA,1,30,100,"Every after a week",NA,1,"0",0,NA,NA,1,0,0,0,0,0,0,"0",0,NA,NA,NA,2,NA,"I advice her to go to law makers at the sub county",15,2,NA,NA,NA,1,"I advice him to go for first aid at the clinic",NA,NA,2,6,NA,NA,"uuid:b3a874f2-57a0-4d22-b6c5-2408c29c6542",1605152102,"uuid:b3a874f2-57a0-4d22-b6c5-2408c29c6542",8
"9","May 16, 2016 5:35:17 PM","May 16, 2016 2:09:17 PM","May 16, 2016 2:38:38 PM",NA,NA,NA,NA,NA,1,NA,"May 16, 2016 2:09:00 PM","V111203",1,33,1,NA,2,9,"I was chosen by committee at the LC1",2,"Farmer",NA,NA,NA,NA,NA,NA,NA,2,2,NA,1,30,200,"After every 2 months",NA,0,"Residents are always requesting him to raise the issue of bringing the healthy centers closer to them",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,"I advise her to report that issue to the chairman",33,2,NA,NA,NA,1,"I make sure I  wrap the wound with a clean cloth to reduce the bleeding",NA,NA,3,4,NA,NA,"uuid:b6e2eeaf-3888-43b1-9295-6c8ba1f6c0db",1605152102,"uuid:b6e2eeaf-3888-43b1-9295-6c8ba1f6c0db",8
"10","May 16, 2016 5:35:18 PM","May 16, 2016 3:01:52 PM","May 16, 2016 3:30:06 PM",NA,NA,NA,NA,NA,1,NA,"May 16, 2016 3:02:00 PM","V111204",2,49,2,NA,NA,NA,NA,NA,NA,NA,2,10,"Village committee chose her",2,"I sell mandazi and pancakes",NA,2,2,NA,1,30,NA,NA,NA,0,"0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,"I ask the woman if the cause was alcohol and I try to solve the issue",24,1,NA,NA,NA,1,"Advise him to get first aid in the clinic",NA,NA,NA,5,NA,NA,"uuid:9ae7e453-355e-4374-811a-fcff7484d1c1",1605152102,"uuid:9ae7e453-355e-4374-811a-fcff7484d1c1",8
