"","SubmissionDate","starttime","endtime","tl","note_1","note_2","intro","consent_text","consent","note_3","date_time","id","gender_q2_1","age_q2_2","vht_naba","long_VHT_q2_3","unit_q2_3vht","number_q2_3vht","started_VHT_q2_4","paid_q2_5vht","earn_q2_6vht","long_naba_q2_3","unit_q2_3naba","number_q2_3naba","started_naba_q2_4","paid_q2_5naba","earn_q2_6naba","hospital_q2_7","unit_q2_7","number_q2_7","hospital_q2_7b","unit_q2_7b","number_q2_7b","households_q2_8","visits_q2_9","visits_q2_9units","visits_q2_9number","note_3_1","violence_q3_1f","other_q3_1g","other_q3_1g_number","q3_2err","note_3_3","victim_q3_3a","perpetrator_q3_3b","victim_fam_q3_3c","perpetrator_fam_q3_3d","victim_friends_q3_3e","perpetrator_friends_q3_3f","neighbors_q3_3g","other_q3_3h","other_q3_3h_number","q3_3err","viol_unreported_q3_2","viol_unreported_q3_3b","viol_nomedic_q3_5","viol_nomedic_q3_5why","advice_q3_6","years_vill_q2_12","people_known_q2_13","intervene_q8_9","friends_fam_q16_3","note_q6_1","rounds_q6_1","machete_q6_2","killed_witch_q14_1","possible_kill_q14_1b","witchdoctor_q6_4","films_q17_1","other_attend_q17_2","note_thanks","instanceID","formdef_version","KEY","tc_id"
"1","11/3/2016 19:40","11/3/2016 10:57","11/3/2016 11:22",4,NA,NA,NA,NA,1,NA,"11/3/2016 10:57","V412401",2,46,1,NA,2,4,"I was elected by the residents",2,"Farmer",NA,NA,NA,NA,NA,NA,NA,1,5,NA,1,20,25,NA,3,2,NA,0,"0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,"I counsel both sides",25,2,1,1,NA,2,2,1,1,3,6,1,NA,"uuid:30cbd651-26a5-49aa-8df9-7a0999937944",1611022330,"uuid:30cbd651-26a5-49aa-8df9-7a0999937944",79
"2","11/3/2016 19:40","11/3/2016 12:01","11/3/2016 12:24",4,NA,NA,NA,NA,1,NA,"11/3/2016 12:01","V412402",2,34,1,NA,2,5,"The subcounty chief called me up for the position",2,"Owns a clinic",NA,NA,NA,NA,NA,NA,NA,1,15,NA,1,50,50,NA,2,1,NA,1,"0",0,NA,NA,1,0,0,0,0,0,0,"0",0,NA,NA,NA,1,"They fear going to report their husbands and later lose their marriages","I first ascertain the cause of the dispute and later counsel her accordingly",12,2,1,1,NA,2,2,NA,1,2,7,4,NA,"uuid:bbce5921-1e97-4685-b34e-26883da37f46",1611022330,"uuid:bbce5921-1e97-4685-b34e-26883da37f46",79
"3","11/3/2016 19:40","11/3/2016 12:54","11/3/2016 13:13",4,NA,NA,NA,NA,1,NA,"11/3/2016 12:54","V412402",1,40,1,NA,2,2011,"Was elected by village residents",2,"Carpentry",NA,NA,NA,NA,NA,NA,NA,1,40,NA,2,1.5,120,NA,3,2,NA,0,"0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,"I advice her to try the law makers for counseling",40,2,1,1,NA,2,2,1,1,3,7,4,NA,"uuid:91493134-945f-46d7-bd7b-33ac969a8bca",1611022330,"uuid:91493134-945f-46d7-bd7b-33ac969a8bca",79
"4","11/3/2016 19:40","11/3/2016 14:22","11/3/2016 14:43",4,NA,NA,NA,NA,1,NA,"11/3/2016 14:23","V412404",2,47,1,NA,2,5,"I was called up by the district officials",2,"Farmer",NA,NA,NA,NA,NA,NA,NA,1,30,NA,2,1,150,NA,2,1,NA,3,"0",0,NA,NA,3,0,0,0,0,0,0,"0",0,NA,NA,NA,1,"Sometimes their husbands prohibit them doing so or else they face more trouble","I call up the couple and counsel them",47,2,1,1,NA,2,2,2,1,3,7,4,NA,"uuid:b7fc4a2b-ac4e-47e8-a504-9929a61a6a6a",1611022330,"uuid:b7fc4a2b-ac4e-47e8-a504-9929a61a6a6a",79
"5","11/3/2016 19:45","11/3/2016 14:51","11/3/2016 15:20",2,NA,NA,NA,NA,1,NA,"11/3/2016 14:52","V403464",2,38,2,NA,NA,NA,NA,NA,NA,NA,2,20,"I was first elected secretary for women then I was later appointed as the nabakyaala",2,"Farming",NA,1,10,NA,1,30,NA,NA,NA,NA,NA,25,"0",0,NA,NA,19,6,0,0,0,0,0,"0",0,NA,NA,NA,1,"Lack of money for medical expenses","I talk to the woman with her husband to find out what the source of the problem is",23,2,1,1,NA,1,2,2,2,3,NA,4,NA,"uuid:70a6b34e-baef-47e0-8a05-898141499f20",1611022330,"uuid:70a6b34e-baef-47e0-8a05-898141499f20",77
"6","11/3/2016 21:11","11/3/2016 14:47","11/3/2016 15:29",3,NA,NA,NA,NA,1,NA,"11/3/2016 14:47","V411043",1,34,1,NA,2,11,"2004",2,"Farming",NA,NA,NA,NA,NA,NA,NA,1,10,NA,2,3,150,NA,3,1,NA,3,"Poor roads",20,NA,NA,3,0,0,0,0,0,0,"0",0,NA,NA,NA,1,"Financial problems  and they also fear there husbands to be imprisoned","Advise her to report to police",34,2,1,1,NA,2,2,2,1,3,7,2,NA,"uuid:1ebe29bd-803e-4a15-865a-4ec0438c80bb",1611022330,"uuid:1ebe29bd-803e-4a15-865a-4ec0438c80bb",104
"7","11/4/2016 19:32","11/4/2016 13:28","11/4/2016 17:12",4,NA,NA,NA,NA,1,NA,"11/4/2016 13:29","V410032",2,73,2,NA,NA,NA,NA,NA,NA,NA,1,10,"Elected",2,"Farming",NA,2,1,NA,2,2,NA,NA,NA,NA,NA,4,"Cleanliness in homes",5,NA,NA,4,0,0,0,0,0,0,"0",0,NA,NA,NA,2,NA,"I find out why she was beaten then I counsel that couple",34,2,1,1,NA,2,2,1,1,2,8,NA,NA,"uuid:4fe62295-36c8-486c-99ac-cec04f0c98eb",1611022330,"uuid:4fe62295-36c8-486c-99ac-cec04f0c98eb",71
"8","11/4/2016 19:32","11/4/2016 16:15","11/4/2016 16:40",4,NA,NA,NA,NA,1,NA,"11/4/2016 16:20","V410031",2,43,1,NA,2,5,"I was elected by the residents of my village",2,"Farmer",NA,NA,NA,NA,NA,NA,NA,2,2,NA,2,1,96,NA,3,2,NA,1,"They always bring me their marriage issues concerning the husbands not giving them a financial help",4,NA,NA,1,0,0,0,0,0,0,"0",0,NA,NA,NA,1,"Sometimes they are the trouble makers","I first find out the cause of the problem and layer counsel her",11,2,1,1,NA,2,2,2,1,3,5,1,NA,"uuid:fb363978-238d-4286-b074-ec9897a482b5",1611022330,"uuid:fb363978-238d-4286-b074-ec9897a482b5",71
"9","11/4/2016 19:32","11/4/2016 16:48","11/4/2016 17:08",4,NA,NA,NA,NA,1,NA,"11/4/2016 16:48","V410033",1,26,1,NA,2,1,"The chairman invited for the training and I later qualified",2,"Farming",NA,NA,NA,NA,NA,NA,NA,1,15,NA,1,90,73,NA,2,3,NA,1,"Some people always ask me for the reports that come up after a thorough check up about the health situations done by health organizations in their area",2,NA,NA,1,0,0,0,0,0,0,"0",0,NA,NA,NA,2,NA,"I advice her to go to the chairman",25,2,1,2,NA,2,2,2,1,3,7,2,NA,"uuid:b7a3562b-d5ed-4b41-a35b-6d609838ca43",1611022330,"uuid:b7a3562b-d5ed-4b41-a35b-6d609838ca43",71
"10","11/4/2016 19:49","11/4/2016 13:24","11/4/2016 13:46",2,NA,NA,NA,NA,1,NA,"11/4/2016 13:24","V407311",2,64,1,NA,2,9,"An NGO from Masaka came to my village looking for volunteers so I volunteered",2,"Farming ",NA,NA,NA,NA,NA,NA,NA,1,10,NA,1,10,120,NA,3,2,NA,20,"0",0,NA,NA,14,6,0,0,0,0,0,"0",0,NA,NA,NA,2,NA,"I approach the man to try and find out the cause of the problem",56,1,1,1,NA,1,2,1,1,3,8,4,NA,"uuid:9d9f4241-f473-417e-9f7c-18ed94d9ebd9",1611022330,"uuid:9d9f4241-f473-417e-9f7c-18ed94d9ebd9",88
